Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
pork,bottled water,yogurt,,,,,,,
domestic eggs,,,,,,,,,
fruit/vegetable juice,,,,,,,,,
frozen vegetables,hamburger meat,fruit/vegetable juice,chicken,other vegetables,,,,,
detergent,pip fruit,whipped/sour cream,soda,cream cheese,domestic eggs,bottled water,pork,tropical fruit,fruit/vegetable juice
whole milk,frozen vegetables,napkins,rolls/buns,whipped/sour cream,hamburger meat,coffee,brown bread,butter,shopping bags
bottled water,cream cheese,,,,,,,,
whipped/sour cream,tropical fruit,fruit/vegetable juice,yogurt,other vegetables,,,,,
bottled water,fruit/vegetable juice,whole milk,hamburger meat,pork,tropical fruit,,,,
tropical fruit,domestic eggs,pip fruit,napkins,bottled water,citrus fruit,,,,
ice cream,cream cheese,domestic eggs,sausage,root vegetables,tropical fruit,hamburger meat,fruit/vegetable juice,citrus fruit,bottled water
bottled water,napkins,,,,,,,,
citrus fruit,hamburger meat,whole milk,coffee,whipped/sour cream,,,,,
root vegetables,yogurt,coffee,curd,frozen vegetables,pastry,hamburger meat,margarine,,
frozen vegetables,whole milk,sausage,napkins,pip fruit,,,,,
hamburger meat,pip fruit,newspapers,citrus fruit,shopping bags,rolls/buns,whole milk,root vegetables,,
root vegetables,napkins,cream cheese,ice cream,brown bread,,,,,
cream cheese,coffee,,,,,,,,
margarine,pastry,bottled water,other vegetables,,,,,,
rolls/buns,pip fruit,,,,,,,,
detergent,domestic eggs,sausage,napkins,whipped/sour cream,hamburger meat,other vegetables,,,
ice cream,shopping bags,butter,whole milk,tropical fruit,napkins,cream cheese,other vegetables,detergent,
shopping bags,brown bread,root vegetables,,,,,,,
newspapers,citrus fruit,bottled water,domestic eggs,root vegetables,brown bread,whipped/sour cream,margarine,,
bottled water,whole milk,detergent,,,,,,,
sausage,frozen vegetables,soda,hamburger meat,,,,,,
curd,rolls/buns,pork,ice cream,detergent,whole milk,,,,
tropical fruit,citrus fruit,hamburger meat,detergent,coffee,whipped/sour cream,sausage,yogurt,domestic eggs,whole milk
domestic eggs,,,,,,,,,
hamburger meat,domestic eggs,root vegetables,coffee,detergent,soda,citrus fruit,,,
newspapers,pip fruit,whole milk,domestic eggs,cream cheese,,,,,
whole milk,domestic eggs,citrus fruit,soda,coffee,,,,,
other vegetables,citrus fruit,domestic eggs,fruit/vegetable juice,hamburger meat,root vegetables,chicken,,,
other vegetables,soda,citrus fruit,root vegetables,rolls/buns,pork,whole milk,brown bread,newspapers,coffee
root vegetables,bottled water,pastry,whipped/sour cream,hamburger meat,,,,,
newspapers,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,
napkins,pastry,cream cheese,soda,coffee,shopping bags,yogurt,curd,whole milk,tropical fruit
whipped/sour cream,whole milk,newspapers,other vegetables,hamburger meat,butter,shopping bags,brown bread,fruit/vegetable juice,frozen vegetables
cream cheese,sausage,citrus fruit,,,,,,,
napkins,pork,,,,,,,,
pip fruit,detergent,domestic eggs,curd,bottled water,rolls/buns,sausage,whipped/sour cream,coffee,other vegetables
whole milk,pastry,frozen vegetables,cream cheese,root vegetables,tropical fruit,ice cream,yogurt,margarine,
shopping bags,soda,domestic eggs,frozen vegetables,detergent,,,,,
pork,shopping bags,brown bread,,,,,,,
whipped/sour cream,sausage,margarine,curd,pork,tropical fruit,butter,detergent,root vegetables,newspapers
whipped/sour cream,napkins,citrus fruit,sausage,yogurt,margarine,ice cream,brown bread,curd,cream cheese
butter,yogurt,pip fruit,napkins,rolls/buns,detergent,sausage,citrus fruit,margarine,
napkins,,,,,,,,,
soda,other vegetables,ice cream,newspapers,root vegetables,bottled water,whole milk,,,
butter,domestic eggs,brown bread,chicken,,,,,,
butter,napkins,sausage,yogurt,root vegetables,,,,,
whole milk,margarine,sausage,brown bread,coffee,soda,detergent,domestic eggs,root vegetables,pip fruit
ice cream,coffee,butter,bottled water,hamburger meat,whipped/sour cream,citrus fruit,pastry,soda,curd
ice cream,newspapers,pastry,soda,sausage,frozen vegetables,hamburger meat,rolls/buns,pip fruit,
ice cream,napkins,brown bread,root vegetables,bottled water,coffee,frozen vegetables,yogurt,,
napkins,brown bread,newspapers,,,,,,,
shopping bags,margarine,detergent,pip fruit,napkins,,,,,
citrus fruit,brown bread,domestic eggs,,,,,,,
pastry,,,,,,,,,
shopping bags,other vegetables,cream cheese,tropical fruit,,,,,,
whole milk,,,,,,,,,
domestic eggs,whole milk,hamburger meat,chicken,brown bread,other vegetables,coffee,cream cheese,,
newspapers,hamburger meat,root vegetables,pip fruit,butter,detergent,coffee,shopping bags,brown bread,other vegetables
tropical fruit,detergent,curd,newspapers,,,,,,
detergent,bottled water,tropical fruit,pork,frozen vegetables,ice cream,shopping bags,rolls/buns,newspapers,root vegetables
margarine,coffee,citrus fruit,chicken,other vegetables,,,,,
root vegetables,rolls/buns,,,,,,,,
hamburger meat,chicken,butter,curd,,,,,,
ice cream,brown bread,whipped/sour cream,pork,cream cheese,napkins,,,,
curd,pip fruit,ice cream,,,,,,,
napkins,soda,curd,hamburger meat,whipped/sour cream,newspapers,sausage,whole milk,,
sausage,hamburger meat,napkins,coffee,pip fruit,soda,newspapers,chicken,bottled water,
whole milk,pip fruit,root vegetables,rolls/buns,chicken,fruit/vegetable juice,pastry,tropical fruit,other vegetables,
margarine,tropical fruit,shopping bags,napkins,,,,,,
ice cream,whipped/sour cream,whole milk,frozen vegetables,,,,,,
sausage,root vegetables,margarine,detergent,coffee,tropical fruit,,,,
butter,fruit/vegetable juice,margarine,,,,,,,
ice cream,pastry,napkins,bottled water,cream cheese,detergent,,,,
whole milk,yogurt,detergent,root vegetables,hamburger meat,sausage,citrus fruit,pip fruit,brown bread,shopping bags
whole milk,,,,,,,,,
curd,citrus fruit,sausage,rolls/buns,domestic eggs,whipped/sour cream,napkins,yogurt,coffee,brown bread
newspapers,bottled water,citrus fruit,other vegetables,,,,,,
shopping bags,rolls/buns,yogurt,detergent,curd,bottled water,cream cheese,root vegetables,whipped/sour cream,other vegetables
chicken,newspapers,whipped/sour cream,,,,,,,
newspapers,pip fruit,margarine,tropical fruit,pork,other vegetables,,,,
napkins,curd,,,,,,,,
frozen vegetables,bottled water,detergent,soda,whole milk,citrus fruit,,,,
margarine,soda,whipped/sour cream,butter,,,,,,
margarine,pastry,chicken,ice cream,,,,,,
yogurt,fruit/vegetable juice,root vegetables,chicken,napkins,tropical fruit,,,,
whole milk,domestic eggs,napkins,bottled water,sausage,chicken,,,,
chicken,napkins,newspapers,root vegetables,brown bread,hamburger meat,tropical fruit,margarine,,
root vegetables,shopping bags,margarine,butter,,,,,,
yogurt,curd,rolls/buns,brown bread,bottled water,butter,citrus fruit,whipped/sour cream,detergent,chicken
newspapers,bottled water,pork,yogurt,whipped/sour cream,pastry,ice cream,frozen vegetables,curd,
shopping bags,pastry,whipped/sour cream,soda,tropical fruit,brown bread,frozen vegetables,,,
pastry,bottled water,detergent,coffee,root vegetables,yogurt,newspapers,butter,,
root vegetables,sausage,fruit/vegetable juice,cream cheese,,,,,,
root vegetables,butter,ice cream,napkins,,,,,,
whipped/sour cream,frozen vegetables,sausage,,,,,,,
sausage,citrus fruit,chicken,bottled water,detergent,,,,,
coffee,pork,curd,margarine,,,,,,
yogurt,rolls/buns,soda,citrus fruit,pork,domestic eggs,napkins,,,
rolls/buns,newspapers,shopping bags,hamburger meat,whole milk,butter,margarine,napkins,,
curd,other vegetables,cream cheese,margarine,pork,detergent,citrus fruit,,,
curd,other vegetables,margarine,detergent,shopping bags,,,,,
curd,chicken,bottled water,pip fruit,cream cheese,tropical fruit,domestic eggs,newspapers,other vegetables,citrus fruit
yogurt,,,,,,,,,
pip fruit,tropical fruit,fruit/vegetable juice,rolls/buns,pastry,frozen vegetables,ice cream,root vegetables,newspapers,curd
newspapers,yogurt,citrus fruit,pastry,,,,,,
whipped/sour cream,bottled water,citrus fruit,pastry,napkins,pip fruit,ice cream,margarine,,
ice cream,napkins,citrus fruit,pip fruit,tropical fruit,other vegetables,domestic eggs,newspapers,,
frozen vegetables,curd,hamburger meat,whole milk,coffee,,,,,
margarine,,,,,,,,,
pip fruit,brown bread,shopping bags,pork,hamburger meat,soda,rolls/buns,,,
hamburger meat,pip fruit,,,,,,,,
pork,pip fruit,citrus fruit,bottled water,,,,,,
domestic eggs,brown bread,tropical fruit,other vegetables,shopping bags,,,,,
yogurt,sausage,margarine,rolls/buns,whole milk,curd,cream cheese,pastry,brown bread,
yogurt,pork,cream cheese,pip fruit,brown bread,whole milk,,,,
margarine,domestic eggs,yogurt,detergent,newspapers,brown bread,sausage,other vegetables,tropical fruit,shopping bags
yogurt,cream cheese,pork,brown bread,bottled water,tropical fruit,,,,
ice cream,curd,yogurt,domestic eggs,pip fruit,chicken,sausage,cream cheese,,
cream cheese,chicken,sausage,tropical fruit,detergent,,,,,
pip fruit,butter,pork,yogurt,,,,,,
frozen vegetables,whole milk,brown bread,hamburger meat,,,,,,
whipped/sour cream,root vegetables,,,,,,,,
whipped/sour cream,hamburger meat,,,,,,,,
bottled water,frozen vegetables,brown bread,soda,root vegetables,chicken,butter,ice cream,whole milk,
citrus fruit,other vegetables,chicken,detergent,bottled water,,,,,
domestic eggs,frozen vegetables,yogurt,ice cream,rolls/buns,,,,,
butter,domestic eggs,newspapers,,,,,,,
brown bread,frozen vegetables,hamburger meat,napkins,pork,cream cheese,ice cream,whole milk,rolls/buns,tropical fruit
bottled water,napkins,soda,,,,,,,
yogurt,pork,coffee,rolls/buns,sausage,pip fruit,other vegetables,newspapers,whipped/sour cream,
whipped/sour cream,margarine,fruit/vegetable juice,sausage,newspapers,frozen vegetables,ice cream,yogurt,,
shopping bags,sausage,,,,,,,,
rolls/buns,sausage,coffee,,,,,,,
cream cheese,butter,frozen vegetables,margarine,whipped/sour cream,,,,,
brown bread,curd,other vegetables,newspapers,coffee,butter,,,,
ice cream,hamburger meat,tropical fruit,newspapers,coffee,whipped/sour cream,shopping bags,,,
butter,pork,napkins,,,,,,,
chicken,detergent,root vegetables,butter,whipped/sour cream,fruit/vegetable juice,newspapers,,,
tropical fruit,ice cream,citrus fruit,bottled water,sausage,newspapers,,,,
soda,ice cream,hamburger meat,curd,margarine,,,,,
pip fruit,cream cheese,rolls/buns,margarine,curd,other vegetables,citrus fruit,,,
sausage,domestic eggs,whole milk,shopping bags,chicken,fruit/vegetable juice,,,,
chicken,other vegetables,,,,,,,,
shopping bags,detergent,citrus fruit,soda,ice cream,other vegetables,,,,
domestic eggs,,,,,,,,,
shopping bags,newspapers,other vegetables,rolls/buns,brown bread,cream cheese,citrus fruit,soda,ice cream,
pip fruit,detergent,pork,sausage,coffee,root vegetables,whole milk,,,
cream cheese,newspapers,rolls/buns,napkins,,,,,,
whole milk,citrus fruit,,,,,,,,
citrus fruit,root vegetables,chicken,soda,detergent,fruit/vegetable juice,domestic eggs,butter,ice cream,margarine
root vegetables,newspapers,shopping bags,other vegetables,sausage,pastry,,,,
butter,margarine,shopping bags,citrus fruit,coffee,,,,,
bottled water,frozen vegetables,fruit/vegetable juice,tropical fruit,hamburger meat,root vegetables,curd,soda,domestic eggs,
whipped/sour cream,bottled water,,,,,,,,
detergent,margarine,butter,sausage,,,,,,
bottled water,curd,hamburger meat,,,,,,,
soda,pastry,other vegetables,cream cheese,ice cream,curd,pip fruit,,,
other vegetables,,,,,,,,,
butter,pip fruit,chicken,rolls/buns,pastry,sausage,root vegetables,pork,bottled water,whipped/sour cream
pastry,citrus fruit,butter,detergent,yogurt,frozen vegetables,margarine,bottled water,whole milk,napkins
rolls/buns,napkins,pastry,cream cheese,whole milk,margarine,brown bread,newspapers,,
whipped/sour cream,pork,bottled water,other vegetables,newspapers,butter,domestic eggs,pastry,,
margarine,detergent,soda,domestic eggs,frozen vegetables,butter,,,,
fruit/vegetable juice,pastry,curd,pork,chicken,other vegetables,,,,
margarine,soda,pastry,bottled water,cream cheese,pork,,,,
tropical fruit,pork,whipped/sour cream,coffee,hamburger meat,brown bread,,,,
bottled water,curd,yogurt,citrus fruit,detergent,root vegetables,sausage,napkins,frozen vegetables,
pork,napkins,other vegetables,whipped/sour cream,cream cheese,,,,,
margarine,,,,,,,,,
butter,root vegetables,whipped/sour cream,margarine,soda,yogurt,whole milk,,,
rolls/buns,whipped/sour cream,margarine,coffee,,,,,,
rolls/buns,cream cheese,pastry,ice cream,tropical fruit,bottled water,detergent,curd,,
chicken,yogurt,whipped/sour cream,fruit/vegetable juice,pastry,hamburger meat,curd,whole milk,,
pip fruit,pork,newspapers,brown bread,shopping bags,soda,yogurt,coffee,domestic eggs,hamburger meat
shopping bags,pork,hamburger meat,tropical fruit,brown bread,soda,,,,
ice cream,detergent,pip fruit,other vegetables,fruit/vegetable juice,chicken,shopping bags,newspapers,coffee,
shopping bags,detergent,frozen vegetables,butter,newspapers,pip fruit,hamburger meat,,,
napkins,,,,,,,,,
cream cheese,citrus fruit,chicken,detergent,frozen vegetables,hamburger meat,,,,
yogurt,,,,,,,,,
frozen vegetables,butter,other vegetables,domestic eggs,tropical fruit,hamburger meat,bottled water,citrus fruit,whole milk,
bottled water,newspapers,whipped/sour cream,frozen vegetables,hamburger meat,pork,ice cream,brown bread,domestic eggs,
fruit/vegetable juice,napkins,cream cheese,pip fruit,pastry,,,,,
hamburger meat,chicken,cream cheese,,,,,,,
pip fruit,tropical fruit,coffee,brown bread,napkins,fruit/vegetable juice,,,,
citrus fruit,newspapers,,,,,,,,
curd,butter,,,,,,,,
root vegetables,shopping bags,citrus fruit,margarine,brown bread,fruit/vegetable juice,,,,
ice cream,,,,,,,,,
ice cream,,,,,,,,,
whipped/sour cream,ice cream,root vegetables,pip fruit,yogurt,margarine,citrus fruit,tropical fruit,,
soda,citrus fruit,fruit/vegetable juice,,,,,,,
napkins,whole milk,other vegetables,,,,,,,
ice cream,,,,,,,,,
margarine,pip fruit,ice cream,root vegetables,citrus fruit,,,,,
pork,shopping bags,yogurt,root vegetables,pip fruit,,,,,
curd,domestic eggs,pork,other vegetables,butter,pastry,coffee,cream cheese,,
tropical fruit,brown bread,yogurt,sausage,domestic eggs,curd,napkins,pastry,bottled water,
frozen vegetables,brown bread,other vegetables,root vegetables,margarine,,,,,
tropical fruit,,,,,,,,,
butter,coffee,detergent,fruit/vegetable juice,pip fruit,shopping bags,,,,
pip fruit,rolls/buns,brown bread,domestic eggs,cream cheese,detergent,margarine,,,
citrus fruit,newspapers,pork,ice cream,cream cheese,,,,,
pastry,shopping bags,pork,pip fruit,cream cheese,bottled water,napkins,soda,yogurt,whipped/sour cream
shopping bags,pastry,cream cheese,pip fruit,chicken,domestic eggs,,,,
soda,sausage,butter,pip fruit,shopping bags,,,,,
curd,detergent,pork,,,,,,,
whole milk,pip fruit,pork,ice cream,tropical fruit,shopping bags,brown bread,sausage,newspapers,cream cheese
other vegetables,,,,,,,,,
root vegetables,other vegetables,pastry,napkins,rolls/buns,margarine,curd,,,
root vegetables,butter,pastry,curd,yogurt,domestic eggs,chicken,citrus fruit,,
hamburger meat,brown bread,bottled water,sausage,cream cheese,frozen vegetables,domestic eggs,rolls/buns,,
citrus fruit,,,,,,,,,
napkins,domestic eggs,soda,rolls/buns,pork,butter,frozen vegetables,bottled water,,
margarine,rolls/buns,fruit/vegetable juice,pastry,chicken,cream cheese,hamburger meat,butter,soda,brown bread
shopping bags,frozen vegetables,ice cream,bottled water,fruit/vegetable juice,pork,yogurt,domestic eggs,,
newspapers,bottled water,sausage,domestic eggs,tropical fruit,,,,,
pip fruit,newspapers,pork,detergent,hamburger meat,chicken,tropical fruit,,,
citrus fruit,pork,ice cream,sausage,detergent,shopping bags,other vegetables,,,
brown bread,hamburger meat,pastry,pip fruit,domestic eggs,rolls/buns,ice cream,root vegetables,,
newspapers,cream cheese,sausage,margarine,pork,whipped/sour cream,chicken,shopping bags,tropical fruit,
bottled water,whipped/sour cream,hamburger meat,napkins,cream cheese,ice cream,,,,
whole milk,sausage,shopping bags,rolls/buns,soda,fruit/vegetable juice,frozen vegetables,pastry,whipped/sour cream,brown bread
detergent,pork,newspapers,,,,,,,
pork,whipped/sour cream,root vegetables,chicken,coffee,cream cheese,,,,
margarine,pastry,newspapers,pip fruit,cream cheese,pork,tropical fruit,shopping bags,,
domestic eggs,whipped/sour cream,,,,,,,,
frozen vegetables,shopping bags,soda,pastry,ice cream,pip fruit,cream cheese,pork,,
whipped/sour cream,curd,,,,,,,,
whipped/sour cream,pastry,frozen vegetables,soda,hamburger meat,fruit/vegetable juice,cream cheese,root vegetables,coffee,
butter,chicken,coffee,yogurt,brown bread,shopping bags,napkins,,,
pork,chicken,tropical fruit,shopping bags,newspapers,brown bread,frozen vegetables,whipped/sour cream,,
cream cheese,napkins,whole milk,domestic eggs,margarine,frozen vegetables,root vegetables,whipped/sour cream,ice cream,sausage
shopping bags,butter,tropical fruit,pip fruit,fruit/vegetable juice,whole milk,,,,
pastry,pip fruit,detergent,pork,butter,,,,,
napkins,whipped/sour cream,chicken,citrus fruit,pork,ice cream,butter,bottled water,,
butter,,,,,,,,,
fruit/vegetable juice,pork,soda,ice cream,frozen vegetables,curd,citrus fruit,hamburger meat,root vegetables,
butter,brown bread,shopping bags,domestic eggs,fruit/vegetable juice,pastry,coffee,hamburger meat,napkins,
whipped/sour cream,pastry,margarine,rolls/buns,,,,,,
napkins,chicken,,,,,,,,
curd,coffee,,,,,,,,
whole milk,yogurt,margarine,hamburger meat,bottled water,newspapers,brown bread,pip fruit,ice cream,
yogurt,other vegetables,bottled water,whole milk,fruit/vegetable juice,shopping bags,whipped/sour cream,newspapers,soda,
citrus fruit,yogurt,whole milk,brown bread,other vegetables,pastry,,,,
frozen vegetables,hamburger meat,yogurt,sausage,cream cheese,chicken,newspapers,shopping bags,brown bread,
sausage,coffee,,,,,,,,
margarine,,,,,,,,,
whole milk,ice cream,curd,whipped/sour cream,bottled water,,,,,
bottled water,,,,,,,,,
chicken,rolls/buns,soda,citrus fruit,pip fruit,napkins,hamburger meat,whole milk,,
domestic eggs,brown bread,hamburger meat,chicken,curd,pork,soda,,,
detergent,pastry,pip fruit,coffee,frozen vegetables,hamburger meat,napkins,brown bread,curd,
pip fruit,,,,,,,,,
brown bread,citrus fruit,soda,newspapers,pip fruit,whole milk,frozen vegetables,sausage,,
pork,,,,,,,,,
whipped/sour cream,tropical fruit,hamburger meat,newspapers,chicken,other vegetables,butter,whole milk,curd,yogurt
bottled water,newspapers,margarine,citrus fruit,,,,,,
whole milk,margarine,soda,yogurt,pastry,napkins,whipped/sour cream,coffee,butter,citrus fruit
bottled water,,,,,,,,,
curd,yogurt,shopping bags,rolls/buns,sausage,brown bread,detergent,newspapers,domestic eggs,
bottled water,butter,pork,sausage,fruit/vegetable juice,whole milk,,,,
bottled water,newspapers,detergent,pip fruit,butter,cream cheese,pork,curd,sausage,citrus fruit
soda,ice cream,pip fruit,pastry,shopping bags,pork,coffee,chicken,curd,tropical fruit
tropical fruit,curd,shopping bags,detergent,soda,hamburger meat,chicken,domestic eggs,frozen vegetables,butter
other vegetables,yogurt,whole milk,rolls/buns,newspapers,hamburger meat,sausage,brown bread,,
whipped/sour cream,curd,napkins,newspapers,citrus fruit,rolls/buns,fruit/vegetable juice,,,
napkins,,,,,,,,,
soda,tropical fruit,frozen vegetables,,,,,,,
pastry,hamburger meat,ice cream,coffee,,,,,,
chicken,,,,,,,,,
chicken,brown bread,shopping bags,fruit/vegetable juice,margarine,whipped/sour cream,yogurt,domestic eggs,,
soda,sausage,pork,root vegetables,shopping bags,cream cheese,coffee,,,
yogurt,other vegetables,hamburger meat,coffee,tropical fruit,napkins,domestic eggs,ice cream,detergent,pastry
tropical fruit,bottled water,domestic eggs,,,,,,,
curd,,,,,,,,,
napkins,root vegetables,,,,,,,,
napkins,brown bread,chicken,rolls/buns,,,,,,
rolls/buns,butter,citrus fruit,ice cream,bottled water,margarine,,,,
citrus fruit,cream cheese,butter,fruit/vegetable juice,pastry,newspapers,bottled water,other vegetables,detergent,
fruit/vegetable juice,,,,,,,,,
butter,sausage,domestic eggs,detergent,root vegetables,,,,,
napkins,shopping bags,butter,sausage,,,,,,
brown bread,root vegetables,hamburger meat,,,,,,,
pork,,,,,,,,,
detergent,brown bread,ice cream,pastry,other vegetables,,,,,
napkins,domestic eggs,fruit/vegetable juice,root vegetables,soda,tropical fruit,whole milk,brown bread,frozen vegetables,bottled water
chicken,brown bread,,,,,,,,
chicken,sausage,yogurt,pip fruit,whole milk,detergent,newspapers,,,
cream cheese,,,,,,,,,
ice cream,whole milk,cream cheese,pip fruit,tropical fruit,domestic eggs,detergent,frozen vegetables,margarine,
margarine,pastry,whole milk,detergent,pork,coffee,,,,
root vegetables,napkins,curd,brown bread,,,,,,
soda,sausage,,,,,,,,
chicken,cream cheese,whole milk,bottled water,hamburger meat,sausage,soda,,,
sausage,other vegetables,fruit/vegetable juice,bottled water,pastry,newspapers,curd,chicken,,
pip fruit,frozen vegetables,brown bread,tropical fruit,fruit/vegetable juice,domestic eggs,other vegetables,coffee,,
cream cheese,yogurt,,,,,,,,
whipped/sour cream,,,,,,,,,
whipped/sour cream,coffee,root vegetables,margarine,soda,hamburger meat,citrus fruit,pip fruit,cream cheese,
coffee,domestic eggs,newspapers,shopping bags,other vegetables,pip fruit,,,,
brown bread,curd,pip fruit,frozen vegetables,butter,soda,,,,
chicken,napkins,whole milk,tropical fruit,whipped/sour cream,cream cheese,hamburger meat,sausage,brown bread,root vegetables
butter,whipped/sour cream,sausage,,,,,,,
shopping bags,bottled water,chicken,ice cream,pork,curd,detergent,whipped/sour cream,,
ice cream,fruit/vegetable juice,domestic eggs,pork,soda,detergent,,,,
citrus fruit,other vegetables,ice cream,,,,,,,
shopping bags,cream cheese,butter,root vegetables,fruit/vegetable juice,domestic eggs,citrus fruit,,,
detergent,cream cheese,pip fruit,domestic eggs,ice cream,whole milk,newspapers,,,
ice cream,domestic eggs,pastry,margarine,coffee,soda,butter,chicken,napkins,sausage
other vegetables,,,,,,,,,
tropical fruit,rolls/buns,shopping bags,pastry,pip fruit,coffee,margarine,bottled water,,
whole milk,whipped/sour cream,frozen vegetables,detergent,curd,sausage,ice cream,,,
hamburger meat,newspapers,margarine,,,,,,,
detergent,root vegetables,citrus fruit,other vegetables,whole milk,,,,,
pastry,margarine,other vegetables,brown bread,rolls/buns,whipped/sour cream,detergent,newspapers,root vegetables,
brown bread,cream cheese,bottled water,tropical fruit,root vegetables,whole milk,coffee,pork,newspapers,whipped/sour cream
pork,pip fruit,citrus fruit,napkins,domestic eggs,pastry,,,,
pork,shopping bags,newspapers,fruit/vegetable juice,yogurt,root vegetables,,,,
rolls/buns,whipped/sour cream,chicken,margarine,yogurt,shopping bags,,,,
bottled water,soda,chicken,hamburger meat,cream cheese,frozen vegetables,butter,curd,,
napkins,root vegetables,newspapers,cream cheese,detergent,,,,,
napkins,sausage,margarine,rolls/buns,tropical fruit,pork,pastry,,,
pastry,,,,,,,,,
frozen vegetables,chicken,bottled water,newspapers,root vegetables,whole milk,sausage,detergent,,
shopping bags,chicken,,,,,,,,
frozen vegetables,domestic eggs,sausage,,,,,,,
detergent,sausage,curd,citrus fruit,cream cheese,chicken,root vegetables,other vegetables,newspapers,yogurt
margarine,pastry,whole milk,soda,rolls/buns,tropical fruit,newspapers,,,
pastry,napkins,root vegetables,domestic eggs,shopping bags,whole milk,margarine,,,
tropical fruit,margarine,rolls/buns,shopping bags,,,,,,
tropical fruit,,,,,,,,,
ice cream,shopping bags,root vegetables,domestic eggs,bottled water,,,,,
root vegetables,detergent,chicken,butter,frozen vegetables,brown bread,,,,
domestic eggs,shopping bags,,,,,,,,
brown bread,sausage,frozen vegetables,chicken,ice cream,hamburger meat,citrus fruit,whole milk,pastry,
shopping bags,butter,curd,chicken,domestic eggs,other vegetables,brown bread,margarine,soda,rolls/buns
butter,whole milk,sausage,domestic eggs,citrus fruit,curd,brown bread,other vegetables,,
pastry,tropical fruit,newspapers,shopping bags,napkins,frozen vegetables,chicken,whipped/sour cream,yogurt,
ice cream,frozen vegetables,brown bread,soda,margarine,pastry,chicken,,,
curd,bottled water,,,,,,,,
fruit/vegetable juice,pastry,rolls/buns,detergent,napkins,bottled water,cream cheese,butter,,
chicken,,,,,,,,,
whipped/sour cream,hamburger meat,coffee,cream cheese,curd,bottled water,fruit/vegetable juice,,,
rolls/buns,soda,whipped/sour cream,hamburger meat,chicken,root vegetables,,,,
citrus fruit,pork,bottled water,,,,,,,
cream cheese,tropical fruit,pastry,margarine,,,,,,
margarine,cream cheese,shopping bags,napkins,citrus fruit,brown bread,,,,
pip fruit,pork,detergent,ice cream,napkins,sausage,root vegetables,whole milk,,
detergent,rolls/buns,bottled water,brown bread,curd,,,,,
whipped/sour cream,domestic eggs,curd,coffee,pastry,whole milk,chicken,,,
pip fruit,frozen vegetables,whole milk,brown bread,fruit/vegetable juice,ice cream,soda,newspapers,citrus fruit,pastry
fruit/vegetable juice,bottled water,detergent,newspapers,hamburger meat,root vegetables,yogurt,other vegetables,margarine,chicken
shopping bags,domestic eggs,sausage,margarine,newspapers,,,,,
yogurt,frozen vegetables,soda,whole milk,tropical fruit,shopping bags,hamburger meat,,,
butter,yogurt,soda,whole milk,hamburger meat,pork,cream cheese,,,
fruit/vegetable juice,bottled water,root vegetables,butter,shopping bags,napkins,,,,
cream cheese,pastry,sausage,butter,napkins,,,,,
frozen vegetables,pastry,newspapers,brown bread,napkins,pip fruit,,,,
pork,butter,cream cheese,shopping bags,fruit/vegetable juice,ice cream,detergent,rolls/buns,,
