Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
detergent,curd,bottled water,fruit/vegetable juice,napkins,cream cheese,pip fruit,pastry,,
newspapers,frozen vegetables,whole milk,,,,,,,
pip fruit,soda,newspapers,frozen vegetables,whipped/sour cream,ice cream,tropical fruit,,,
yogurt,cream cheese,shopping bags,,,,,,,
rolls/buns,whipped/sour cream,shopping bags,coffee,pork,whole milk,newspapers,butter,,
brown bread,ice cream,pip fruit,margarine,newspapers,yogurt,shopping bags,bottled water,,
frozen vegetables,rolls/buns,pork,napkins,ice cream,cream cheese,coffee,root vegetables,hamburger meat,whipped/sour cream
citrus fruit,fruit/vegetable juice,soda,domestic eggs,margarine,root vegetables,chicken,,,
curd,shopping bags,butter,pip fruit,soda,,,,,
pork,sausage,frozen vegetables,newspapers,butter,tropical fruit,coffee,pastry,,
cream cheese,brown bread,pork,other vegetables,margarine,,,,,
frozen vegetables,whole milk,bottled water,sausage,hamburger meat,,,,,
napkins,rolls/buns,butter,brown bread,cream cheese,detergent,coffee,frozen vegetables,,
coffee,pork,,,,,,,,
citrus fruit,napkins,shopping bags,frozen vegetables,pork,butter,,,,
butter,brown bread,pastry,whipped/sour cream,margarine,napkins,chicken,cream cheese,pork,
root vegetables,whipped/sour cream,newspapers,hamburger meat,yogurt,fruit/vegetable juice,whole milk,,,
soda,shopping bags,sausage,rolls/buns,cream cheese,margarine,pork,brown bread,pastry,napkins
newspapers,pastry,,,,,,,,
margarine,bottled water,whipped/sour cream,hamburger meat,,,,,,
domestic eggs,root vegetables,soda,sausage,pork,coffee,other vegetables,,,
fruit/vegetable juice,frozen vegetables,shopping bags,napkins,citrus fruit,coffee,,,,
bottled water,pork,,,,,,,,
pastry,pip fruit,curd,root vegetables,,,,,,
hamburger meat,,,,,,,,,
napkins,curd,frozen vegetables,chicken,butter,citrus fruit,domestic eggs,pip fruit,pastry,
whipped/sour cream,shopping bags,curd,soda,citrus fruit,pip fruit,tropical fruit,,,
sausage,fruit/vegetable juice,brown bread,cream cheese,,,,,,
fruit/vegetable juice,hamburger meat,,,,,,,,
napkins,whole milk,pastry,pip fruit,curd,ice cream,pork,sausage,brown bread,frozen vegetables
brown bread,butter,hamburger meat,ice cream,domestic eggs,citrus fruit,cream cheese,shopping bags,,
tropical fruit,coffee,hamburger meat,margarine,butter,,,,,
curd,ice cream,soda,chicken,brown bread,pastry,coffee,citrus fruit,butter,bottled water
other vegetables,,,,,,,,,
ice cream,soda,rolls/buns,hamburger meat,brown bread,margarine,sausage,fruit/vegetable juice,,
brown bread,bottled water,curd,napkins,,,,,,
ice cream,curd,other vegetables,shopping bags,chicken,newspapers,butter,cream cheese,yogurt,citrus fruit
pork,pastry,shopping bags,soda,ice cream,sausage,root vegetables,domestic eggs,whole milk,newspapers
yogurt,whipped/sour cream,tropical fruit,,,,,,,
hamburger meat,cream cheese,pork,soda,,,,,,
domestic eggs,chicken,sausage,,,,,,,
tropical fruit,curd,root vegetables,pork,whole milk,hamburger meat,,,,
tropical fruit,pork,yogurt,curd,fruit/vegetable juice,coffee,,,,
brown bread,domestic eggs,soda,fruit/vegetable juice,bottled water,,,,,
detergent,cream cheese,coffee,frozen vegetables,butter,curd,pip fruit,domestic eggs,hamburger meat,yogurt
root vegetables,,,,,,,,,
ice cream,tropical fruit,soda,butter,chicken,hamburger meat,whole milk,shopping bags,margarine,coffee
pastry,other vegetables,coffee,hamburger meat,domestic eggs,chicken,cream cheese,detergent,yogurt,sausage
whipped/sour cream,pastry,butter,,,,,,,
napkins,tropical fruit,,,,,,,,
butter,tropical fruit,ice cream,pastry,,,,,,
domestic eggs,,,,,,,,,
frozen vegetables,bottled water,napkins,,,,,,,
newspapers,other vegetables,pip fruit,brown bread,bottled water,citrus fruit,,,,
whipped/sour cream,,,,,,,,,
pastry,brown bread,,,,,,,,
frozen vegetables,,,,,,,,,
brown bread,root vegetables,curd,citrus fruit,tropical fruit,fruit/vegetable juice,,,,
detergent,frozen vegetables,newspapers,,,,,,,
ice cream,napkins,pastry,hamburger meat,coffee,pip fruit,root vegetables,margarine,bottled water,
shopping bags,whipped/sour cream,,,,,,,,
ice cream,,,,,,,,,
fruit/vegetable juice,whole milk,shopping bags,butter,coffee,,,,,
sausage,curd,soda,yogurt,,,,,,
domestic eggs,curd,pip fruit,shopping bags,cream cheese,fruit/vegetable juice,detergent,pork,rolls/buns,soda
ice cream,curd,cream cheese,rolls/buns,fruit/vegetable juice,shopping bags,,,,
ice cream,whole milk,fruit/vegetable juice,,,,,,,
frozen vegetables,butter,yogurt,shopping bags,detergent,other vegetables,tropical fruit,chicken,root vegetables,napkins
bottled water,brown bread,tropical fruit,,,,,,,
ice cream,margarine,pastry,butter,,,,,,
hamburger meat,curd,citrus fruit,other vegetables,domestic eggs,chicken,cream cheese,brown bread,whipped/sour cream,
chicken,ice cream,yogurt,rolls/buns,frozen vegetables,,,,,
root vegetables,pip fruit,,,,,,,,
margarine,ice cream,root vegetables,cream cheese,hamburger meat,shopping bags,,,,
cream cheese,detergent,butter,hamburger meat,brown bread,rolls/buns,ice cream,,,
fruit/vegetable juice,newspapers,frozen vegetables,pastry,pip fruit,citrus fruit,,,,
frozen vegetables,ice cream,detergent,brown bread,curd,,,,,
pork,pastry,curd,detergent,tropical fruit,whipped/sour cream,pip fruit,hamburger meat,fruit/vegetable juice,
other vegetables,,,,,,,,,
detergent,chicken,rolls/buns,domestic eggs,,,,,,
butter,frozen vegetables,pip fruit,bottled water,hamburger meat,pastry,,,,
rolls/buns,napkins,margarine,detergent,ice cream,shopping bags,,,,
citrus fruit,frozen vegetables,,,,,,,,
rolls/buns,chicken,pastry,tropical fruit,brown bread,sausage,ice cream,yogurt,,
pip fruit,rolls/buns,bottled water,,,,,,,
newspapers,butter,whipped/sour cream,soda,whole milk,chicken,cream cheese,,,
yogurt,root vegetables,hamburger meat,whole milk,ice cream,fruit/vegetable juice,detergent,newspapers,,
brown bread,other vegetables,newspapers,tropical fruit,curd,pork,,,,
detergent,citrus fruit,pastry,tropical fruit,,,,,,
domestic eggs,newspapers,ice cream,pip fruit,frozen vegetables,soda,whole milk,brown bread,yogurt,
rolls/buns,soda,newspapers,whole milk,citrus fruit,frozen vegetables,pork,whipped/sour cream,tropical fruit,sausage
yogurt,napkins,,,,,,,,
rolls/buns,margarine,brown bread,sausage,,,,,,
soda,napkins,domestic eggs,detergent,frozen vegetables,,,,,
other vegetables,margarine,coffee,bottled water,pastry,root vegetables,pork,,,
margarine,cream cheese,butter,,,,,,,
ice cream,whipped/sour cream,pip fruit,margarine,,,,,,
curd,,,,,,,,,
detergent,rolls/buns,pip fruit,yogurt,whole milk,frozen vegetables,chicken,whipped/sour cream,root vegetables,other vegetables
cream cheese,coffee,whipped/sour cream,,,,,,,
brown bread,sausage,hamburger meat,detergent,newspapers,cream cheese,coffee,fruit/vegetable juice,whipped/sour cream,
ice cream,chicken,cream cheese,other vegetables,butter,detergent,fruit/vegetable juice,hamburger meat,pork,
yogurt,hamburger meat,tropical fruit,domestic eggs,brown bread,,,,,
detergent,chicken,butter,brown bread,soda,tropical fruit,sausage,pastry,curd,
fruit/vegetable juice,butter,margarine,whipped/sour cream,pastry,,,,,
butter,,,,,,,,,
chicken,citrus fruit,root vegetables,fruit/vegetable juice,tropical fruit,,,,,
cream cheese,citrus fruit,soda,pastry,pork,,,,,
yogurt,detergent,ice cream,pastry,butter,newspapers,margarine,frozen vegetables,fruit/vegetable juice,cream cheese
soda,curd,pastry,citrus fruit,coffee,cream cheese,whole milk,whipped/sour cream,other vegetables,tropical fruit
whole milk,pastry,citrus fruit,rolls/buns,fruit/vegetable juice,sausage,hamburger meat,,,
citrus fruit,chicken,bottled water,other vegetables,whole milk,newspapers,hamburger meat,napkins,,
frozen vegetables,,,,,,,,,
butter,napkins,curd,other vegetables,whipped/sour cream,ice cream,,,,
shopping bags,ice cream,pastry,napkins,whole milk,,,,,
pork,,,,,,,,,
root vegetables,tropical fruit,hamburger meat,curd,cream cheese,fruit/vegetable juice,,,,
citrus fruit,ice cream,shopping bags,root vegetables,newspapers,pip fruit,,,,
other vegetables,curd,coffee,detergent,,,,,,
bottled water,detergent,napkins,chicken,newspapers,whipped/sour cream,yogurt,,,
detergent,ice cream,brown bread,curd,,,,,,
curd,,,,,,,,,
pork,pastry,,,,,,,,
coffee,margarine,yogurt,whipped/sour cream,shopping bags,other vegetables,curd,ice cream,root vegetables,
whole milk,tropical fruit,shopping bags,chicken,margarine,brown bread,,,,
hamburger meat,detergent,pastry,,,,,,,
other vegetables,bottled water,domestic eggs,margarine,brown bread,rolls/buns,fruit/vegetable juice,,,
whole milk,frozen vegetables,butter,rolls/buns,fruit/vegetable juice,,,,,
napkins,ice cream,rolls/buns,hamburger meat,,,,,,
chicken,curd,bottled water,rolls/buns,,,,,,
tropical fruit,soda,brown bread,pip fruit,pastry,napkins,hamburger meat,,,
curd,pastry,newspapers,chicken,citrus fruit,domestic eggs,,,,
citrus fruit,frozen vegetables,shopping bags,margarine,cream cheese,,,,,
frozen vegetables,other vegetables,whole milk,pork,hamburger meat,pastry,rolls/buns,curd,butter,
shopping bags,ice cream,hamburger meat,newspapers,pip fruit,brown bread,chicken,other vegetables,,
chicken,yogurt,pork,brown bread,tropical fruit,,,,,
bottled water,,,,,,,,,
ice cream,shopping bags,pork,margarine,whole milk,napkins,butter,pastry,detergent,soda
curd,ice cream,,,,,,,,
curd,shopping bags,bottled water,hamburger meat,frozen vegetables,butter,brown bread,coffee,,
other vegetables,newspapers,whole milk,butter,domestic eggs,root vegetables,frozen vegetables,pork,rolls/buns,
pip fruit,,,,,,,,,
sausage,yogurt,domestic eggs,whipped/sour cream,pastry,hamburger meat,fruit/vegetable juice,whole milk,,
rolls/buns,fruit/vegetable juice,detergent,sausage,margarine,,,,,
bottled water,sausage,root vegetables,other vegetables,whipped/sour cream,brown bread,pork,domestic eggs,citrus fruit,
chicken,detergent,hamburger meat,,,,,,,
bottled water,sausage,fruit/vegetable juice,yogurt,root vegetables,citrus fruit,,,,
bottled water,napkins,,,,,,,,
chicken,margarine,curd,napkins,whole milk,fruit/vegetable juice,cream cheese,other vegetables,pork,
newspapers,pork,pastry,coffee,whipped/sour cream,curd,fruit/vegetable juice,,,
margarine,bottled water,tropical fruit,soda,,,,,,
pork,soda,tropical fruit,shopping bags,domestic eggs,other vegetables,coffee,fruit/vegetable juice,margarine,bottled water
ice cream,napkins,root vegetables,,,,,,,
bottled water,brown bread,citrus fruit,whipped/sour cream,coffee,whole milk,curd,rolls/buns,,
domestic eggs,chicken,cream cheese,fruit/vegetable juice,detergent,curd,whole milk,brown bread,,
yogurt,pastry,detergent,bottled water,frozen vegetables,fruit/vegetable juice,napkins,domestic eggs,other vegetables,ice cream
sausage,coffee,hamburger meat,pastry,rolls/buns,chicken,,,,
sausage,whipped/sour cream,fruit/vegetable juice,whole milk,pastry,detergent,pip fruit,margarine,,
citrus fruit,margarine,tropical fruit,napkins,,,,,,
frozen vegetables,newspapers,coffee,rolls/buns,ice cream,margarine,,,,
butter,coffee,ice cream,citrus fruit,newspapers,root vegetables,chicken,whole milk,rolls/buns,
shopping bags,rolls/buns,chicken,root vegetables,frozen vegetables,soda,fruit/vegetable juice,bottled water,detergent,margarine
chicken,pastry,newspapers,butter,citrus fruit,curd,whole milk,other vegetables,domestic eggs,
butter,fruit/vegetable juice,pip fruit,newspapers,chicken,bottled water,root vegetables,pastry,tropical fruit,
brown bread,frozen vegetables,fruit/vegetable juice,tropical fruit,other vegetables,sausage,shopping bags,whipped/sour cream,,
root vegetables,citrus fruit,ice cream,frozen vegetables,chicken,margarine,tropical fruit,newspapers,napkins,curd
fruit/vegetable juice,citrus fruit,pastry,detergent,newspapers,rolls/buns,frozen vegetables,napkins,,
cream cheese,napkins,root vegetables,coffee,,,,,,
soda,yogurt,sausage,curd,detergent,,,,,
frozen vegetables,shopping bags,brown bread,pork,bottled water,fruit/vegetable juice,,,,
yogurt,root vegetables,whipped/sour cream,frozen vegetables,shopping bags,hamburger meat,,,,
butter,pip fruit,sausage,soda,fruit/vegetable juice,bottled water,newspapers,root vegetables,,
sausage,whole milk,root vegetables,,,,,,,
pastry,frozen vegetables,whipped/sour cream,other vegetables,citrus fruit,,,,,
brown bread,,,,,,,,,
margarine,whole milk,,,,,,,,
tropical fruit,bottled water,detergent,yogurt,butter,sausage,,,,
whipped/sour cream,tropical fruit,,,,,,,,
soda,rolls/buns,pastry,brown bread,hamburger meat,sausage,whipped/sour cream,,,
sausage,shopping bags,butter,,,,,,,
cream cheese,ice cream,pip fruit,butter,chicken,newspapers,coffee,,,
butter,fruit/vegetable juice,other vegetables,shopping bags,whole milk,ice cream,,,,
butter,pork,sausage,domestic eggs,margarine,whipped/sour cream,napkins,pip fruit,other vegetables,rolls/buns
frozen vegetables,fruit/vegetable juice,margarine,butter,whole milk,pastry,ice cream,curd,,
napkins,pip fruit,frozen vegetables,ice cream,bottled water,whole milk,margarine,,,
brown bread,frozen vegetables,butter,,,,,,,
coffee,whole milk,fruit/vegetable juice,,,,,,,
root vegetables,coffee,pastry,whole milk,detergent,tropical fruit,rolls/buns,pip fruit,butter,
other vegetables,citrus fruit,yogurt,margarine,brown bread,coffee,pastry,newspapers,chicken,
napkins,root vegetables,whole milk,whipped/sour cream,pastry,ice cream,frozen vegetables,tropical fruit,yogurt,
rolls/buns,root vegetables,whole milk,domestic eggs,tropical fruit,,,,,
chicken,tropical fruit,pork,ice cream,,,,,,
coffee,chicken,,,,,,,,
butter,other vegetables,domestic eggs,coffee,hamburger meat,brown bread,citrus fruit,,,
newspapers,whipped/sour cream,butter,domestic eggs,,,,,,
frozen vegetables,brown bread,curd,fruit/vegetable juice,butter,bottled water,napkins,,,
sausage,root vegetables,,,,,,,,
ice cream,tropical fruit,sausage,newspapers,,,,,,
fruit/vegetable juice,detergent,rolls/buns,pork,,,,,,
tropical fruit,yogurt,chicken,coffee,butter,brown bread,rolls/buns,frozen vegetables,other vegetables,pork
yogurt,napkins,fruit/vegetable juice,bottled water,brown bread,shopping bags,tropical fruit,whipped/sour cream,ice cream,newspapers
pork,,,,,,,,,
bottled water,curd,napkins,newspapers,butter,hamburger meat,sausage,,,
root vegetables,other vegetables,shopping bags,,,,,,,
brown bread,sausage,yogurt,detergent,chicken,cream cheese,,,,
brown bread,pastry,,,,,,,,
chicken,whole milk,rolls/buns,fruit/vegetable juice,,,,,,
curd,pip fruit,rolls/buns,,,,,,,
pork,butter,chicken,,,,,,,
whipped/sour cream,,,,,,,,,
chicken,sausage,curd,yogurt,,,,,,
frozen vegetables,ice cream,soda,cream cheese,bottled water,tropical fruit,coffee,,,
margarine,soda,yogurt,curd,whipped/sour cream,,,,,
brown bread,sausage,domestic eggs,chicken,soda,,,,,
pastry,pip fruit,soda,hamburger meat,root vegetables,sausage,butter,citrus fruit,other vegetables,
citrus fruit,pip fruit,whole milk,rolls/buns,frozen vegetables,shopping bags,,,,
pastry,pork,citrus fruit,fruit/vegetable juice,whipped/sour cream,curd,,,,
margarine,frozen vegetables,hamburger meat,pork,,,,,,
tropical fruit,yogurt,domestic eggs,,,,,,,
shopping bags,hamburger meat,root vegetables,brown bread,pastry,curd,citrus fruit,,,
rolls/buns,chicken,whole milk,,,,,,,
whole milk,margarine,bottled water,chicken,brown bread,pork,,,,
pastry,brown bread,domestic eggs,whipped/sour cream,,,,,,
ice cream,chicken,,,,,,,,
pip fruit,hamburger meat,rolls/buns,napkins,detergent,,,,,
napkins,bottled water,hamburger meat,margarine,,,,,,
newspapers,sausage,whole milk,rolls/buns,frozen vegetables,,,,,
citrus fruit,,,,,,,,,
butter,tropical fruit,rolls/buns,frozen vegetables,margarine,coffee,other vegetables,cream cheese,newspapers,
frozen vegetables,sausage,whole milk,cream cheese,other vegetables,rolls/buns,ice cream,citrus fruit,chicken,brown bread
whole milk,brown bread,pork,,,,,,,
other vegetables,butter,ice cream,whole milk,newspapers,root vegetables,soda,napkins,cream cheese,whipped/sour cream
sausage,bottled water,frozen vegetables,pork,whole milk,citrus fruit,curd,,,
margarine,napkins,cream cheese,chicken,other vegetables,pip fruit,butter,shopping bags,,
fruit/vegetable juice,hamburger meat,detergent,sausage,shopping bags,chicken,newspapers,brown bread,yogurt,
butter,root vegetables,pork,,,,,,,
soda,curd,brown bread,sausage,root vegetables,,,,,
curd,detergent,bottled water,citrus fruit,chicken,margarine,brown bread,,,
napkins,coffee,citrus fruit,hamburger meat,whipped/sour cream,bottled water,whole milk,,,
fruit/vegetable juice,rolls/buns,domestic eggs,citrus fruit,whipped/sour cream,tropical fruit,sausage,frozen vegetables,,
tropical fruit,,,,,,,,,
tropical fruit,fruit/vegetable juice,citrus fruit,whole milk,pip fruit,butter,,,,
citrus fruit,rolls/buns,,,,,,,,
citrus fruit,coffee,,,,,,,,
frozen vegetables,chicken,pip fruit,pork,coffee,other vegetables,tropical fruit,margarine,,
butter,margarine,domestic eggs,detergent,,,,,,
shopping bags,pip fruit,whole milk,,,,,,,
butter,tropical fruit,whipped/sour cream,curd,root vegetables,,,,,
fruit/vegetable juice,citrus fruit,,,,,,,,
rolls/buns,pastry,whipped/sour cream,bottled water,brown bread,root vegetables,hamburger meat,,,
margarine,frozen vegetables,butter,soda,root vegetables,,,,,
fruit/vegetable juice,,,,,,,,,
newspapers,napkins,cream cheese,coffee,root vegetables,hamburger meat,chicken,domestic eggs,,
brown bread,domestic eggs,ice cream,fruit/vegetable juice,newspapers,yogurt,,,,
shopping bags,bottled water,pastry,coffee,sausage,brown bread,pork,,,
whipped/sour cream,,,,,,,,,
pastry,napkins,yogurt,cream cheese,,,,,,
citrus fruit,sausage,,,,,,,,
fruit/vegetable juice,pip fruit,soda,margarine,whole milk,,,,,
pip fruit,whole milk,root vegetables,pork,brown bread,citrus fruit,chicken,newspapers,,
coffee,hamburger meat,shopping bags,bottled water,tropical fruit,margarine,brown bread,domestic eggs,,
soda,yogurt,,,,,,,,
pip fruit,citrus fruit,cream cheese,curd,coffee,ice cream,hamburger meat,bottled water,napkins,
whole milk,whipped/sour cream,fruit/vegetable juice,bottled water,ice cream,yogurt,curd,,,
margarine,sausage,curd,pip fruit,,,,,,
napkins,rolls/buns,pip fruit,,,,,,,
pip fruit,rolls/buns,citrus fruit,bottled water,whipped/sour cream,shopping bags,butter,,,
soda,ice cream,domestic eggs,sausage,fruit/vegetable juice,bottled water,butter,newspapers,root vegetables,
pastry,whole milk,,,,,,,,
citrus fruit,rolls/buns,fruit/vegetable juice,napkins,whipped/sour cream,,,,,
margarine,citrus fruit,pastry,tropical fruit,butter,bottled water,brown bread,ice cream,,
cream cheese,frozen vegetables,bottled water,pip fruit,yogurt,coffee,,,,
frozen vegetables,whole milk,pastry,pip fruit,margarine,rolls/buns,chicken,detergent,tropical fruit,
curd,domestic eggs,pork,napkins,fruit/vegetable juice,,,,,
bottled water,,,,,,,,,
frozen vegetables,,,,,,,,,
tropical fruit,ice cream,domestic eggs,,,,,,,
soda,hamburger meat,,,,,,,,
pork,domestic eggs,curd,margarine,pip fruit,,,,,
detergent,cream cheese,whole milk,,,,,,,
citrus fruit,chicken,,,,,,,,
root vegetables,,,,,,,,,
shopping bags,whipped/sour cream,hamburger meat,sausage,tropical fruit,domestic eggs,citrus fruit,,,
curd,,,,,,,,,
chicken,rolls/buns,whole milk,newspapers,pastry,margarine,detergent,pip fruit,napkins,ice cream
newspapers,curd,yogurt,,,,,,,
soda,fruit/vegetable juice,brown bread,whipped/sour cream,whole milk,rolls/buns,pork,napkins,other vegetables,
yogurt,newspapers,cream cheese,rolls/buns,ice cream,pip fruit,whole milk,frozen vegetables,root vegetables,shopping bags
cream cheese,sausage,margarine,,,,,,,
pip fruit,yogurt,soda,detergent,rolls/buns,root vegetables,,,,
pastry,cream cheese,whipped/sour cream,shopping bags,margarine,,,,,
whipped/sour cream,rolls/buns,,,,,,,,
sausage,fruit/vegetable juice,rolls/buns,newspapers,hamburger meat,,,,,
pork,rolls/buns,domestic eggs,margarine,citrus fruit,newspapers,whole milk,frozen vegetables,whipped/sour cream,coffee
fruit/vegetable juice,frozen vegetables,tropical fruit,brown bread,chicken,,,,,
sausage,shopping bags,pastry,whipped/sour cream,napkins,,,,,
hamburger meat,,,,,,,,,
pork,cream cheese,napkins,other vegetables,hamburger meat,chicken,butter,whipped/sour cream,rolls/buns,whole milk
whole milk,butter,other vegetables,bottled water,brown bread,domestic eggs,detergent,frozen vegetables,,
detergent,butter,cream cheese,sausage,whole milk,ice cream,brown bread,yogurt,root vegetables,pip fruit
shopping bags,napkins,pastry,brown bread,citrus fruit,margarine,sausage,butter,newspapers,coffee
sausage,tropical fruit,shopping bags,,,,,,,
whipped/sour cream,bottled water,domestic eggs,coffee,other vegetables,margarine,soda,,,
cream cheese,other vegetables,butter,pork,napkins,newspapers,soda,,,
coffee,napkins,newspapers,hamburger meat,yogurt,ice cream,bottled water,rolls/buns,curd,shopping bags
brown bread,,,,,,,,,
tropical fruit,,,,,,,,,
newspapers,domestic eggs,hamburger meat,detergent,margarine,curd,,,,
hamburger meat,shopping bags,pork,butter,soda,margarine,sausage,whole milk,pip fruit,
domestic eggs,,,,,,,,,
fruit/vegetable juice,tropical fruit,detergent,frozen vegetables,soda,brown bread,other vegetables,shopping bags,margarine,
soda,chicken,brown bread,hamburger meat,cream cheese,margarine,butter,ice cream,,
coffee,,,,,,,,,
fruit/vegetable juice,hamburger meat,pork,whipped/sour cream,napkins,yogurt,,,,
pastry,citrus fruit,whole milk,rolls/buns,soda,pork,coffee,pip fruit,yogurt,whipped/sour cream
domestic eggs,cream cheese,butter,bottled water,curd,pastry,brown bread,fruit/vegetable juice,,
whole milk,pip fruit,pastry,hamburger meat,chicken,,,,,
hamburger meat,butter,coffee,domestic eggs,fruit/vegetable juice,,,,,
yogurt,domestic eggs,hamburger meat,brown bread,margarine,curd,root vegetables,pastry,frozen vegetables,
curd,brown bread,margarine,tropical fruit,butter,chicken,whole milk,cream cheese,pip fruit,sausage
soda,domestic eggs,hamburger meat,pastry,root vegetables,yogurt,rolls/buns,curd,chicken,whole milk
brown bread,whole milk,rolls/buns,sausage,napkins,,,,,
yogurt,brown bread,pastry,,,,,,,
pork,fruit/vegetable juice,newspapers,whole milk,coffee,pastry,hamburger meat,,,
root vegetables,pork,napkins,hamburger meat,yogurt,whipped/sour cream,pastry,fruit/vegetable juice,frozen vegetables,
whole milk,frozen vegetables,hamburger meat,pip fruit,chicken,,,,,
rolls/buns,ice cream,brown bread,newspapers,cream cheese,,,,,
brown bread,soda,ice cream,citrus fruit,cream cheese,curd,margarine,coffee,,
domestic eggs,ice cream,coffee,newspapers,soda,napkins,bottled water,,,
shopping bags,other vegetables,detergent,coffee,soda,butter,margarine,,,
rolls/buns,shopping bags,newspapers,fruit/vegetable juice,sausage,brown bread,ice cream,tropical fruit,hamburger meat,butter
root vegetables,whole milk,yogurt,,,,,,,
detergent,soda,cream cheese,frozen vegetables,,,,,,
yogurt,pip fruit,root vegetables,domestic eggs,pastry,soda,detergent,coffee,hamburger meat,
citrus fruit,whole milk,sausage,other vegetables,whipped/sour cream,domestic eggs,ice cream,,,
detergent,brown bread,pastry,coffee,tropical fruit,pork,frozen vegetables,cream cheese,other vegetables,shopping bags
other vegetables,,,,,,,,,
cream cheese,,,,,,,,,
fruit/vegetable juice,newspapers,shopping bags,napkins,brown bread,curd,rolls/buns,,,
curd,pastry,brown bread,butter,newspapers,citrus fruit,frozen vegetables,,,
shopping bags,sausage,pastry,cream cheese,bottled water,tropical fruit,brown bread,soda,curd,margarine
fruit/vegetable juice,chicken,whole milk,pork,detergent,tropical fruit,domestic eggs,,,
root vegetables,other vegetables,sausage,brown bread,frozen vegetables,,,,,
sausage,ice cream,domestic eggs,fruit/vegetable juice,,,,,,
detergent,whole milk,sausage,shopping bags,cream cheese,,,,,
citrus fruit,whipped/sour cream,curd,domestic eggs,rolls/buns,,,,,
pork,hamburger meat,detergent,ice cream,napkins,root vegetables,margarine,citrus fruit,other vegetables,
citrus fruit,curd,shopping bags,chicken,butter,,,,,
coffee,ice cream,shopping bags,,,,,,,
frozen vegetables,cream cheese,whole milk,domestic eggs,rolls/buns,soda,ice cream,margarine,,
brown bread,hamburger meat,pork,sausage,napkins,tropical fruit,other vegetables,fruit/vegetable juice,detergent,frozen vegetables
soda,bottled water,,,,,,,,
coffee,pastry,detergent,whole milk,pork,margarine,whipped/sour cream,,,
hamburger meat,detergent,napkins,shopping bags,soda,whole milk,curd,,,
other vegetables,rolls/buns,chicken,whipped/sour cream,,,,,,
other vegetables,,,,,,,,,
ice cream,other vegetables,soda,tropical fruit,rolls/buns,hamburger meat,newspapers,coffee,,
chicken,root vegetables,detergent,,,,,,,
hamburger meat,other vegetables,rolls/buns,ice cream,pork,domestic eggs,pastry,frozen vegetables,root vegetables,margarine
domestic eggs,pork,brown bread,shopping bags,chicken,fruit/vegetable juice,margarine,napkins,,
butter,frozen vegetables,soda,curd,cream cheese,whipped/sour cream,detergent,napkins,,
pork,whipped/sour cream,chicken,pip fruit,whole milk,,,,,
ice cream,coffee,pork,pastry,curd,hamburger meat,newspapers,bottled water,domestic eggs,rolls/buns
napkins,,,,,,,,,
margarine,shopping bags,bottled water,soda,domestic eggs,citrus fruit,,,,
detergent,soda,butter,fruit/vegetable juice,shopping bags,margarine,,,,
frozen vegetables,domestic eggs,root vegetables,chicken,margarine,sausage,yogurt,,,
shopping bags,other vegetables,hamburger meat,rolls/buns,fruit/vegetable juice,,,,,
root vegetables,hamburger meat,,,,,,,,
ice cream,hamburger meat,pork,other vegetables,whipped/sour cream,tropical fruit,sausage,rolls/buns,,
detergent,cream cheese,chicken,pastry,tropical fruit,hamburger meat,sausage,butter,fruit/vegetable juice,
coffee,,,,,,,,,
rolls/buns,butter,cream cheese,pastry,,,,,,
root vegetables,cream cheese,curd,soda,,,,,,
