Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
fruit/vegetable juice,citrus fruit,tropical fruit,soda,sausage,pip fruit,pastry,bottled water,cream cheese,
ice cream,margarine,hamburger meat,newspapers,whipped/sour cream,detergent,bottled water,,,
curd,other vegetables,frozen vegetables,bottled water,detergent,,,,,
curd,napkins,frozen vegetables,yogurt,citrus fruit,ice cream,rolls/buns,tropical fruit,,
root vegetables,pip fruit,yogurt,shopping bags,citrus fruit,other vegetables,pork,brown bread,bottled water,newspapers
coffee,whipped/sour cream,ice cream,pip fruit,whole milk,pork,yogurt,citrus fruit,curd,
whipped/sour cream,fruit/vegetable juice,margarine,pip fruit,pastry,coffee,shopping bags,napkins,hamburger meat,
brown bread,fruit/vegetable juice,root vegetables,ice cream,soda,margarine,newspapers,,,
pip fruit,frozen vegetables,butter,yogurt,citrus fruit,hamburger meat,newspapers,whole milk,,
napkins,detergent,,,,,,,,
shopping bags,napkins,tropical fruit,yogurt,chicken,newspapers,,,,
pip fruit,newspapers,other vegetables,curd,root vegetables,brown bread,margarine,coffee,pork,shopping bags
margarine,soda,brown bread,root vegetables,ice cream,detergent,newspapers,sausage,,
curd,whipped/sour cream,chicken,tropical fruit,hamburger meat,frozen vegetables,napkins,,,
brown bread,bottled water,butter,hamburger meat,whipped/sour cream,rolls/buns,shopping bags,,,
newspapers,pip fruit,,,,,,,,
detergent,fruit/vegetable juice,bottled water,shopping bags,pork,tropical fruit,coffee,whipped/sour cream,root vegetables,
pastry,domestic eggs,frozen vegetables,pork,newspapers,napkins,cream cheese,soda,whole milk,
whole milk,root vegetables,margarine,brown bread,pip fruit,,,,,
soda,whipped/sour cream,margarine,napkins,newspapers,,,,,
domestic eggs,,,,,,,,,
fruit/vegetable juice,,,,,,,,,
curd,bottled water,brown bread,pastry,,,,,,
frozen vegetables,,,,,,,,,
fruit/vegetable juice,soda,coffee,rolls/buns,root vegetables,curd,butter,sausage,citrus fruit,
detergent,shopping bags,coffee,,,,,,,
ice cream,domestic eggs,,,,,,,,
soda,other vegetables,pork,napkins,whole milk,margarine,frozen vegetables,fruit/vegetable juice,rolls/buns,tropical fruit
pork,,,,,,,,,
newspapers,tropical fruit,hamburger meat,rolls/buns,coffee,whole milk,frozen vegetables,,,
other vegetables,,,,,,,,,
hamburger meat,ice cream,,,,,,,,
curd,ice cream,detergent,cream cheese,root vegetables,fruit/vegetable juice,domestic eggs,chicken,,
soda,sausage,other vegetables,fruit/vegetable juice,rolls/buns,cream cheese,whipped/sour cream,,,
coffee,fruit/vegetable juice,chicken,shopping bags,bottled water,pastry,rolls/buns,napkins,soda,
pastry,ice cream,,,,,,,,
citrus fruit,hamburger meat,curd,detergent,napkins,domestic eggs,bottled water,shopping bags,,
coffee,frozen vegetables,yogurt,tropical fruit,citrus fruit,root vegetables,cream cheese,butter,margarine,newspapers
citrus fruit,,,,,,,,,
newspapers,brown bread,fruit/vegetable juice,,,,,,,
domestic eggs,,,,,,,,,
domestic eggs,,,,,,,,,
pip fruit,pork,other vegetables,curd,pastry,,,,,
yogurt,fruit/vegetable juice,hamburger meat,shopping bags,chicken,rolls/buns,pip fruit,,,
margarine,frozen vegetables,napkins,newspapers,pip fruit,domestic eggs,,,,
pip fruit,napkins,brown bread,frozen vegetables,rolls/buns,chicken,newspapers,pork,detergent,
cream cheese,soda,rolls/buns,,,,,,,
coffee,margarine,newspapers,bottled water,whole milk,detergent,frozen vegetables,root vegetables,,
detergent,tropical fruit,pastry,fruit/vegetable juice,ice cream,,,,,
shopping bags,ice cream,butter,pork,detergent,yogurt,coffee,brown bread,,
butter,cream cheese,detergent,margarine,napkins,pip fruit,,,,
soda,,,,,,,,,
chicken,rolls/buns,sausage,bottled water,coffee,root vegetables,hamburger meat,,,
whole milk,frozen vegetables,margarine,butter,detergent,hamburger meat,bottled water,root vegetables,shopping bags,
napkins,sausage,butter,citrus fruit,bottled water,brown bread,whole milk,cream cheese,margarine,shopping bags
butter,curd,margarine,frozen vegetables,,,,,,
ice cream,brown bread,other vegetables,,,,,,,
butter,pip fruit,yogurt,,,,,,,
shopping bags,butter,pastry,other vegetables,ice cream,frozen vegetables,brown bread,whole milk,yogurt,
soda,detergent,bottled water,hamburger meat,whipped/sour cream,chicken,curd,root vegetables,,
bottled water,shopping bags,sausage,butter,tropical fruit,root vegetables,napkins,brown bread,,
frozen vegetables,bottled water,fruit/vegetable juice,sausage,tropical fruit,margarine,yogurt,,,
frozen vegetables,cream cheese,fruit/vegetable juice,margarine,domestic eggs,pastry,shopping bags,soda,brown bread,
rolls/buns,newspapers,detergent,butter,tropical fruit,brown bread,sausage,pip fruit,bottled water,chicken
pork,,,,,,,,,
newspapers,napkins,shopping bags,cream cheese,,,,,,
tropical fruit,yogurt,coffee,detergent,rolls/buns,citrus fruit,whole milk,soda,,
yogurt,fruit/vegetable juice,,,,,,,,
margarine,shopping bags,tropical fruit,soda,pip fruit,other vegetables,,,,
pastry,,,,,,,,,
pip fruit,,,,,,,,,
whipped/sour cream,whole milk,newspapers,soda,,,,,,
pork,chicken,hamburger meat,detergent,napkins,sausage,coffee,whipped/sour cream,pastry,shopping bags
hamburger meat,newspapers,sausage,citrus fruit,napkins,whipped/sour cream,soda,coffee,,
bottled water,hamburger meat,brown bread,cream cheese,coffee,domestic eggs,napkins,tropical fruit,fruit/vegetable juice,
coffee,whole milk,chicken,domestic eggs,pastry,butter,napkins,detergent,sausage,
shopping bags,chicken,newspapers,bottled water,napkins,,,,,
hamburger meat,domestic eggs,ice cream,sausage,,,,,,
pork,sausage,fruit/vegetable juice,butter,root vegetables,margarine,yogurt,chicken,hamburger meat,newspapers
fruit/vegetable juice,rolls/buns,brown bread,root vegetables,ice cream,pip fruit,hamburger meat,newspapers,,
tropical fruit,fruit/vegetable juice,pork,yogurt,chicken,,,,,
whipped/sour cream,,,,,,,,,
fruit/vegetable juice,ice cream,napkins,frozen vegetables,pip fruit,other vegetables,yogurt,cream cheese,coffee,
soda,other vegetables,fruit/vegetable juice,brown bread,hamburger meat,coffee,margarine,curd,yogurt,
chicken,pork,hamburger meat,cream cheese,napkins,yogurt,,,,
other vegetables,cream cheese,root vegetables,shopping bags,coffee,bottled water,newspapers,yogurt,tropical fruit,rolls/buns
newspapers,domestic eggs,detergent,soda,coffee,butter,pork,tropical fruit,brown bread,cream cheese
curd,yogurt,sausage,chicken,,,,,,
chicken,napkins,citrus fruit,,,,,,,
newspapers,,,,,,,,,
pip fruit,newspapers,other vegetables,whole milk,soda,butter,root vegetables,,,
chicken,yogurt,napkins,,,,,,,
soda,curd,pip fruit,,,,,,,
citrus fruit,domestic eggs,detergent,butter,brown bread,root vegetables,coffee,cream cheese,whipped/sour cream,chicken
detergent,butter,bottled water,,,,,,,
rolls/buns,whole milk,curd,margarine,,,,,,
whole milk,,,,,,,,,
whipped/sour cream,citrus fruit,pip fruit,pork,napkins,margarine,brown bread,other vegetables,bottled water,rolls/buns
root vegetables,coffee,whole milk,yogurt,shopping bags,other vegetables,,,,
sausage,,,,,,,,,
shopping bags,brown bread,butter,,,,,,,
other vegetables,citrus fruit,bottled water,domestic eggs,brown bread,cream cheese,chicken,napkins,butter,whipped/sour cream
frozen vegetables,,,,,,,,,
frozen vegetables,detergent,hamburger meat,ice cream,,,,,,
pastry,other vegetables,whipped/sour cream,citrus fruit,butter,cream cheese,detergent,ice cream,root vegetables,coffee
frozen vegetables,tropical fruit,butter,napkins,cream cheese,rolls/buns,,,,
citrus fruit,hamburger meat,curd,cream cheese,,,,,,
margarine,ice cream,frozen vegetables,detergent,pork,sausage,coffee,napkins,yogurt,rolls/buns
yogurt,root vegetables,,,,,,,,
shopping bags,frozen vegetables,whipped/sour cream,pip fruit,coffee,soda,domestic eggs,,,
hamburger meat,domestic eggs,shopping bags,butter,chicken,ice cream,pork,napkins,pastry,
frozen vegetables,napkins,tropical fruit,curd,sausage,newspapers,root vegetables,yogurt,,
fruit/vegetable juice,yogurt,chicken,,,,,,,
sausage,cream cheese,soda,shopping bags,hamburger meat,coffee,,,,
curd,domestic eggs,hamburger meat,bottled water,,,,,,
pip fruit,brown bread,whole milk,coffee,napkins,butter,cream cheese,rolls/buns,shopping bags,chicken
curd,rolls/buns,ice cream,napkins,other vegetables,,,,,
domestic eggs,curd,fruit/vegetable juice,rolls/buns,butter,frozen vegetables,detergent,brown bread,,
yogurt,detergent,whipped/sour cream,chicken,,,,,,
coffee,margarine,shopping bags,frozen vegetables,yogurt,butter,bottled water,brown bread,,
whole milk,,,,,,,,,
newspapers,pip fruit,hamburger meat,ice cream,soda,fruit/vegetable juice,detergent,curd,cream cheese,brown bread
ice cream,pip fruit,fruit/vegetable juice,citrus fruit,shopping bags,,,,,
coffee,,,,,,,,,
butter,whipped/sour cream,bottled water,pastry,whole milk,,,,,
tropical fruit,,,,,,,,,
soda,yogurt,pork,hamburger meat,,,,,,
detergent,whole milk,pip fruit,pork,whipped/sour cream,curd,napkins,tropical fruit,chicken,
fruit/vegetable juice,domestic eggs,coffee,soda,pastry,other vegetables,,,,
pork,pastry,domestic eggs,chicken,detergent,,,,,
newspapers,frozen vegetables,other vegetables,pork,,,,,,
hamburger meat,domestic eggs,root vegetables,frozen vegetables,soda,fruit/vegetable juice,cream cheese,napkins,,
other vegetables,citrus fruit,,,,,,,,
cream cheese,shopping bags,whole milk,pip fruit,citrus fruit,fruit/vegetable juice,,,,
pastry,newspapers,curd,whole milk,,,,,,
newspapers,napkins,shopping bags,pork,margarine,whole milk,hamburger meat,cream cheese,,
butter,soda,shopping bags,sausage,margarine,yogurt,whole milk,ice cream,coffee,
chicken,whipped/sour cream,pork,fruit/vegetable juice,pastry,,,,,
detergent,other vegetables,pip fruit,tropical fruit,shopping bags,ice cream,cream cheese,soda,whipped/sour cream,brown bread
pastry,fruit/vegetable juice,detergent,ice cream,whipped/sour cream,shopping bags,butter,whole milk,yogurt,
napkins,,,,,,,,,
shopping bags,rolls/buns,citrus fruit,sausage,domestic eggs,ice cream,pip fruit,coffee,whipped/sour cream,
root vegetables,bottled water,newspapers,pastry,citrus fruit,butter,cream cheese,other vegetables,pip fruit,brown bread
shopping bags,pastry,,,,,,,,
soda,rolls/buns,detergent,other vegetables,pastry,frozen vegetables,citrus fruit,bottled water,whipped/sour cream,chicken
cream cheese,margarine,pork,,,,,,,
yogurt,newspapers,ice cream,,,,,,,
root vegetables,pastry,domestic eggs,citrus fruit,hamburger meat,ice cream,butter,,,
napkins,cream cheese,hamburger meat,whole milk,sausage,chicken,newspapers,whipped/sour cream,fruit/vegetable juice,brown bread
whole milk,brown bread,bottled water,rolls/buns,pip fruit,curd,chicken,,,
sausage,newspapers,ice cream,other vegetables,margarine,tropical fruit,pastry,,,
rolls/buns,brown bread,tropical fruit,curd,fruit/vegetable juice,domestic eggs,yogurt,,,
pip fruit,,,,,,,,,
yogurt,coffee,margarine,sausage,hamburger meat,soda,whole milk,,,
pastry,shopping bags,pip fruit,other vegetables,citrus fruit,,,,,
coffee,detergent,root vegetables,newspapers,whipped/sour cream,shopping bags,,,,
butter,curd,chicken,frozen vegetables,domestic eggs,yogurt,rolls/buns,brown bread,,
domestic eggs,pork,,,,,,,,
pastry,shopping bags,pork,yogurt,,,,,,
pork,margarine,pip fruit,domestic eggs,sausage,tropical fruit,whipped/sour cream,root vegetables,,
napkins,cream cheese,brown bread,tropical fruit,domestic eggs,fruit/vegetable juice,frozen vegetables,pastry,,
other vegetables,napkins,chicken,newspapers,curd,rolls/buns,,,,
coffee,tropical fruit,napkins,whipped/sour cream,newspapers,detergent,chicken,bottled water,,
napkins,sausage,curd,pastry,coffee,pork,,,,
napkins,frozen vegetables,brown bread,tropical fruit,pastry,,,,,
curd,brown bread,tropical fruit,root vegetables,chicken,soda,,,,
pork,,,,,,,,,
whole milk,shopping bags,pork,root vegetables,pip fruit,napkins,whipped/sour cream,curd,brown bread,citrus fruit
shopping bags,ice cream,tropical fruit,butter,,,,,,
butter,whole milk,newspapers,sausage,rolls/buns,hamburger meat,cream cheese,shopping bags,,
root vegetables,coffee,margarine,pip fruit,napkins,fruit/vegetable juice,yogurt,brown bread,shopping bags,tropical fruit
pip fruit,butter,cream cheese,rolls/buns,chicken,whole milk,root vegetables,yogurt,soda,
domestic eggs,root vegetables,detergent,,,,,,,
napkins,domestic eggs,pip fruit,ice cream,,,,,,
pip fruit,rolls/buns,pastry,citrus fruit,cream cheese,yogurt,curd,,,
brown bread,sausage,detergent,tropical fruit,margarine,yogurt,butter,shopping bags,pip fruit,
detergent,shopping bags,soda,butter,cream cheese,,,,,
chicken,root vegetables,cream cheese,,,,,,,
tropical fruit,pastry,whole milk,brown bread,margarine,napkins,other vegetables,hamburger meat,newspapers,
yogurt,coffee,whole milk,,,,,,,
frozen vegetables,ice cream,yogurt,whole milk,chicken,newspapers,coffee,,,
butter,detergent,coffee,margarine,,,,,,
bottled water,hamburger meat,,,,,,,,
brown bread,margarine,other vegetables,napkins,sausage,root vegetables,frozen vegetables,shopping bags,newspapers,cream cheese
butter,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,
sausage,shopping bags,soda,napkins,tropical fruit,other vegetables,cream cheese,detergent,margarine,pip fruit
hamburger meat,bottled water,rolls/buns,brown bread,frozen vegetables,sausage,shopping bags,whipped/sour cream,citrus fruit,ice cream
frozen vegetables,coffee,root vegetables,pip fruit,margarine,hamburger meat,detergent,shopping bags,butter,
curd,sausage,,,,,,,,
root vegetables,citrus fruit,,,,,,,,
cream cheese,ice cream,detergent,domestic eggs,shopping bags,butter,citrus fruit,root vegetables,hamburger meat,
detergent,whole milk,fruit/vegetable juice,shopping bags,root vegetables,hamburger meat,curd,yogurt,rolls/buns,
bottled water,shopping bags,root vegetables,,,,,,,
brown bread,domestic eggs,coffee,pastry,soda,margarine,,,,
root vegetables,curd,frozen vegetables,,,,,,,
bottled water,pork,sausage,margarine,frozen vegetables,yogurt,shopping bags,pip fruit,pastry,
shopping bags,margarine,fruit/vegetable juice,bottled water,newspapers,butter,pork,napkins,ice cream,brown bread
frozen vegetables,bottled water,pastry,root vegetables,,,,,,
domestic eggs,ice cream,detergent,margarine,frozen vegetables,,,,,
sausage,hamburger meat,domestic eggs,citrus fruit,newspapers,,,,,
newspapers,shopping bags,detergent,pip fruit,pastry,chicken,sausage,,,
napkins,,,,,,,,,
fruit/vegetable juice,sausage,hamburger meat,margarine,,,,,,
newspapers,sausage,yogurt,napkins,frozen vegetables,tropical fruit,fruit/vegetable juice,shopping bags,ice cream,
sausage,,,,,,,,,
rolls/buns,napkins,yogurt,tropical fruit,margarine,curd,butter,frozen vegetables,,
chicken,coffee,frozen vegetables,fruit/vegetable juice,,,,,,
cream cheese,shopping bags,brown bread,,,,,,,
napkins,other vegetables,rolls/buns,domestic eggs,newspapers,shopping bags,whole milk,,,
newspapers,other vegetables,root vegetables,soda,,,,,,
curd,tropical fruit,brown bread,,,,,,,
fruit/vegetable juice,cream cheese,butter,newspapers,whole milk,hamburger meat,,,,
coffee,pip fruit,curd,fruit/vegetable juice,whole milk,shopping bags,tropical fruit,butter,domestic eggs,
soda,newspapers,curd,brown bread,butter,whole milk,domestic eggs,yogurt,root vegetables,other vegetables
whipped/sour cream,shopping bags,pastry,curd,bottled water,sausage,,,,
ice cream,fruit/vegetable juice,napkins,whole milk,shopping bags,curd,yogurt,,,
ice cream,napkins,whole milk,hamburger meat,,,,,,
yogurt,bottled water,butter,whipped/sour cream,soda,tropical fruit,ice cream,,,
domestic eggs,napkins,rolls/buns,,,,,,,
shopping bags,ice cream,coffee,curd,pork,pastry,other vegetables,,,
ice cream,fruit/vegetable juice,root vegetables,soda,brown bread,other vegetables,frozen vegetables,cream cheese,yogurt,whole milk
coffee,whole milk,domestic eggs,napkins,newspapers,frozen vegetables,root vegetables,ice cream,chicken,
sausage,root vegetables,citrus fruit,coffee,,,,,,
cream cheese,ice cream,pip fruit,curd,newspapers,brown bread,,,,
bottled water,,,,,,,,,
newspapers,margarine,hamburger meat,whole milk,rolls/buns,ice cream,,,,
yogurt,hamburger meat,,,,,,,,
whipped/sour cream,pip fruit,citrus fruit,cream cheese,newspapers,domestic eggs,napkins,,,
detergent,fruit/vegetable juice,,,,,,,,
whipped/sour cream,pip fruit,,,,,,,,
shopping bags,,,,,,,,,
frozen vegetables,other vegetables,yogurt,sausage,,,,,,
frozen vegetables,rolls/buns,shopping bags,,,,,,,
yogurt,domestic eggs,whipped/sour cream,chicken,,,,,,
pastry,shopping bags,hamburger meat,whipped/sour cream,bottled water,whole milk,margarine,frozen vegetables,cream cheese,citrus fruit
coffee,pastry,yogurt,,,,,,,
citrus fruit,,,,,,,,,
detergent,tropical fruit,bottled water,fruit/vegetable juice,,,,,,
hamburger meat,frozen vegetables,fruit/vegetable juice,other vegetables,butter,,,,,
pip fruit,chicken,bottled water,napkins,pork,sausage,cream cheese,,,
pork,,,,,,,,,
pip fruit,chicken,hamburger meat,ice cream,,,,,,
butter,shopping bags,root vegetables,,,,,,,
sausage,hamburger meat,,,,,,,,
cream cheese,coffee,soda,whipped/sour cream,frozen vegetables,rolls/buns,,,,
other vegetables,ice cream,frozen vegetables,tropical fruit,rolls/buns,sausage,coffee,curd,,
yogurt,root vegetables,butter,ice cream,napkins,citrus fruit,,,,
chicken,tropical fruit,butter,shopping bags,pastry,bottled water,ice cream,whole milk,,
butter,pork,root vegetables,ice cream,citrus fruit,tropical fruit,whole milk,,,
citrus fruit,butter,fruit/vegetable juice,chicken,detergent,shopping bags,whole milk,frozen vegetables,,
frozen vegetables,root vegetables,domestic eggs,pork,pastry,soda,tropical fruit,bottled water,,
newspapers,domestic eggs,coffee,citrus fruit,fruit/vegetable juice,rolls/buns,root vegetables,,,
citrus fruit,,,,,,,,,
margarine,napkins,rolls/buns,fruit/vegetable juice,soda,pip fruit,tropical fruit,pastry,bottled water,other vegetables
pork,fruit/vegetable juice,cream cheese,soda,whipped/sour cream,newspapers,brown bread,shopping bags,yogurt,
newspapers,coffee,butter,root vegetables,chicken,shopping bags,yogurt,,,
rolls/buns,,,,,,,,,
curd,,,,,,,,,
root vegetables,yogurt,,,,,,,,
napkins,hamburger meat,pastry,yogurt,,,,,,
whole milk,,,,,,,,,
soda,pastry,ice cream,fruit/vegetable juice,root vegetables,citrus fruit,other vegetables,,,
brown bread,rolls/buns,sausage,pastry,fruit/vegetable juice,coffee,cream cheese,pip fruit,shopping bags,bottled water
cream cheese,,,,,,,,,
soda,other vegetables,,,,,,,,
detergent,fruit/vegetable juice,citrus fruit,pip fruit,,,,,,
newspapers,soda,,,,,,,,
margarine,pastry,newspapers,rolls/buns,soda,napkins,,,,
chicken,fruit/vegetable juice,curd,whipped/sour cream,margarine,coffee,pastry,detergent,napkins,
chicken,,,,,,,,,
citrus fruit,soda,pip fruit,,,,,,,
ice cream,shopping bags,,,,,,,,
citrus fruit,ice cream,cream cheese,pip fruit,,,,,,
rolls/buns,pastry,,,,,,,,
pastry,shopping bags,pip fruit,napkins,fruit/vegetable juice,pork,sausage,ice cream,curd,brown bread
sausage,cream cheese,brown bread,whipped/sour cream,yogurt,fruit/vegetable juice,rolls/buns,detergent,napkins,
yogurt,brown bread,,,,,,,,
rolls/buns,bottled water,detergent,curd,ice cream,,,,,
rolls/buns,brown bread,frozen vegetables,yogurt,ice cream,citrus fruit,,,,
napkins,newspapers,pork,coffee,other vegetables,,,,,
margarine,curd,yogurt,brown bread,soda,detergent,pip fruit,,,
ice cream,newspapers,hamburger meat,rolls/buns,other vegetables,cream cheese,fruit/vegetable juice,chicken,soda,
butter,frozen vegetables,cream cheese,tropical fruit,pastry,yogurt,citrus fruit,curd,brown bread,rolls/buns
root vegetables,curd,fruit/vegetable juice,soda,,,,,,
detergent,citrus fruit,butter,pip fruit,,,,,,
fruit/vegetable juice,pastry,ice cream,napkins,citrus fruit,,,,,
cream cheese,coffee,newspapers,pip fruit,ice cream,,,,,
brown bread,chicken,pork,root vegetables,detergent,tropical fruit,margarine,whole milk,pastry,fruit/vegetable juice
hamburger meat,sausage,ice cream,whole milk,curd,,,,,
rolls/buns,sausage,hamburger meat,pip fruit,fruit/vegetable juice,frozen vegetables,root vegetables,napkins,,
ice cream,sausage,whole milk,shopping bags,cream cheese,soda,whipped/sour cream,butter,,
curd,tropical fruit,newspapers,,,,,,,
butter,whole milk,hamburger meat,ice cream,detergent,soda,,,,
napkins,soda,hamburger meat,,,,,,,
hamburger meat,whipped/sour cream,chicken,butter,whole milk,fruit/vegetable juice,detergent,newspapers,margarine,curd
butter,frozen vegetables,other vegetables,soda,brown bread,coffee,citrus fruit,root vegetables,newspapers,sausage
pastry,soda,napkins,cream cheese,butter,,,,,
rolls/buns,cream cheese,pip fruit,whipped/sour cream,coffee,fruit/vegetable juice,whole milk,chicken,shopping bags,
whipped/sour cream,citrus fruit,domestic eggs,soda,ice cream,bottled water,shopping bags,pip fruit,detergent,hamburger meat
domestic eggs,curd,frozen vegetables,shopping bags,cream cheese,,,,,
chicken,newspapers,napkins,pip fruit,rolls/buns,margarine,root vegetables,yogurt,,
brown bread,margarine,pork,whole milk,other vegetables,butter,rolls/buns,yogurt,,
bottled water,citrus fruit,margarine,frozen vegetables,,,,,,
soda,coffee,hamburger meat,bottled water,chicken,pork,curd,newspapers,sausage,brown bread
other vegetables,chicken,newspapers,brown bread,whipped/sour cream,napkins,curd,soda,,
yogurt,rolls/buns,whipped/sour cream,,,,,,,
margarine,tropical fruit,whipped/sour cream,cream cheese,other vegetables,pastry,ice cream,newspapers,bottled water,detergent
tropical fruit,whole milk,ice cream,curd,,,,,,
cream cheese,hamburger meat,frozen vegetables,rolls/buns,pip fruit,ice cream,coffee,fruit/vegetable juice,detergent,
frozen vegetables,bottled water,shopping bags,,,,,,,
whipped/sour cream,tropical fruit,shopping bags,,,,,,,
frozen vegetables,bottled water,curd,fruit/vegetable juice,rolls/buns,,,,,
other vegetables,brown bread,whipped/sour cream,domestic eggs,napkins,butter,rolls/buns,yogurt,,
whipped/sour cream,sausage,rolls/buns,,,,,,,
coffee,brown bread,rolls/buns,citrus fruit,frozen vegetables,pip fruit,chicken,pastry,ice cream,
pastry,,,,,,,,,
domestic eggs,margarine,citrus fruit,yogurt,soda,chicken,hamburger meat,root vegetables,,
whipped/sour cream,rolls/buns,,,,,,,,
brown bread,whole milk,hamburger meat,napkins,,,,,,
root vegetables,napkins,pastry,,,,,,,
napkins,cream cheese,whipped/sour cream,bottled water,,,,,,
pip fruit,pastry,bottled water,ice cream,newspapers,,,,,
margarine,tropical fruit,whipped/sour cream,chicken,citrus fruit,rolls/buns,butter,pork,,
pastry,fruit/vegetable juice,butter,,,,,,,
fruit/vegetable juice,sausage,pip fruit,pork,,,,,,
yogurt,,,,,,,,,
rolls/buns,yogurt,pastry,tropical fruit,cream cheese,ice cream,root vegetables,,,
ice cream,root vegetables,,,,,,,,
curd,whipped/sour cream,rolls/buns,pastry,tropical fruit,root vegetables,newspapers,napkins,soda,detergent
butter,ice cream,yogurt,detergent,fruit/vegetable juice,soda,other vegetables,,,
napkins,,,,,,,,,
soda,,,,,,,,,
soda,hamburger meat,,,,,,,,
newspapers,cream cheese,shopping bags,butter,whole milk,pip fruit,bottled water,pork,,
fruit/vegetable juice,domestic eggs,napkins,ice cream,tropical fruit,detergent,,,,
coffee,rolls/buns,butter,margarine,pastry,,,,,
cream cheese,curd,sausage,,,,,,,
curd,root vegetables,shopping bags,soda,pastry,domestic eggs,chicken,tropical fruit,napkins,
citrus fruit,sausage,tropical fruit,yogurt,bottled water,pastry,hamburger meat,,,
sausage,butter,whipped/sour cream,,,,,,,
pork,other vegetables,chicken,,,,,,,
bottled water,tropical fruit,hamburger meat,newspapers,,,,,,
margarine,,,,,,,,,
pork,bottled water,yogurt,other vegetables,whipped/sour cream,root vegetables,,,,
pork,shopping bags,margarine,bottled water,coffee,pip fruit,root vegetables,whipped/sour cream,tropical fruit,brown bread
ice cream,other vegetables,pip fruit,curd,newspapers,napkins,detergent,citrus fruit,,
butter,curd,whole milk,,,,,,,
fruit/vegetable juice,frozen vegetables,sausage,rolls/buns,whipped/sour cream,,,,,
rolls/buns,coffee,pip fruit,bottled water,frozen vegetables,domestic eggs,curd,whole milk,ice cream,napkins
margarine,bottled water,napkins,,,,,,,
whipped/sour cream,,,,,,,,,
domestic eggs,detergent,pork,curd,frozen vegetables,,,,,
detergent,citrus fruit,tropical fruit,pip fruit,,,,,,
ice cream,fruit/vegetable juice,pip fruit,other vegetables,root vegetables,pork,curd,brown bread,chicken,butter
rolls/buns,bottled water,margarine,whole milk,,,,,,
brown bread,detergent,,,,,,,,
cream cheese,yogurt,newspapers,bottled water,domestic eggs,pork,soda,root vegetables,coffee,ice cream
soda,sausage,shopping bags,,,,,,,
pip fruit,cream cheese,other vegetables,ice cream,yogurt,butter,pork,tropical fruit,hamburger meat,citrus fruit
fruit/vegetable juice,other vegetables,frozen vegetables,whole milk,pip fruit,pastry,chicken,margarine,shopping bags,yogurt
margarine,whipped/sour cream,hamburger meat,napkins,,,,,,
curd,,,,,,,,,
bottled water,tropical fruit,ice cream,root vegetables,hamburger meat,whipped/sour cream,brown bread,coffee,domestic eggs,
shopping bags,cream cheese,coffee,margarine,root vegetables,yogurt,butter,,,
sausage,citrus fruit,,,,,,,,
brown bread,pork,chicken,whipped/sour cream,,,,,,
curd,domestic eggs,hamburger meat,citrus fruit,pip fruit,cream cheese,soda,ice cream,,
butter,,,,,,,,,
sausage,domestic eggs,pastry,root vegetables,ice cream,rolls/buns,yogurt,newspapers,soda,
butter,coffee,detergent,newspapers,,,,,,
citrus fruit,rolls/buns,curd,ice cream,pastry,hamburger meat,butter,margarine,coffee,
sausage,other vegetables,newspapers,,,,,,,
butter,frozen vegetables,fruit/vegetable juice,other vegetables,hamburger meat,sausage,pip fruit,coffee,rolls/buns,
chicken,whole milk,citrus fruit,ice cream,napkins,fruit/vegetable juice,shopping bags,curd,hamburger meat,
