Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
whole milk,hamburger meat,bottled water,whipped/sour cream,butter,curd,root vegetables,pastry,,
whipped/sour cream,chicken,shopping bags,newspapers,ice cream,margarine,pip fruit,root vegetables,citrus fruit,soda
citrus fruit,yogurt,chicken,pip fruit,coffee,,,,,
other vegetables,detergent,bottled water,curd,cream cheese,ice cream,citrus fruit,root vegetables,pip fruit,margarine
chicken,yogurt,frozen vegetables,tropical fruit,newspapers,detergent,shopping bags,,,
shopping bags,cream cheese,coffee,ice cream,napkins,brown bread,domestic eggs,root vegetables,,
pastry,rolls/buns,butter,chicken,domestic eggs,root vegetables,cream cheese,detergent,other vegetables,
tropical fruit,whole milk,bottled water,,,,,,,
soda,curd,rolls/buns,ice cream,frozen vegetables,yogurt,,,,
soda,brown bread,chicken,bottled water,pip fruit,coffee,pork,napkins,,
soda,fruit/vegetable juice,shopping bags,margarine,pip fruit,rolls/buns,,,,
ice cream,curd,coffee,soda,whipped/sour cream,napkins,cream cheese,citrus fruit,yogurt,pip fruit
ice cream,root vegetables,pip fruit,shopping bags,domestic eggs,tropical fruit,soda,whole milk,,
shopping bags,soda,newspapers,brown bread,whole milk,other vegetables,cream cheese,sausage,,
tropical fruit,hamburger meat,detergent,,,,,,,
margarine,sausage,frozen vegetables,rolls/buns,curd,pork,chicken,bottled water,citrus fruit,
shopping bags,soda,hamburger meat,frozen vegetables,citrus fruit,,,,,
napkins,margarine,citrus fruit,domestic eggs,,,,,,
sausage,yogurt,whipped/sour cream,cream cheese,tropical fruit,shopping bags,,,,
curd,detergent,bottled water,soda,,,,,,
citrus fruit,newspapers,shopping bags,rolls/buns,cream cheese,brown bread,pork,coffee,frozen vegetables,
domestic eggs,curd,bottled water,detergent,brown bread,,,,,
hamburger meat,tropical fruit,yogurt,whipped/sour cream,chicken,newspapers,,,,
pork,frozen vegetables,detergent,yogurt,pip fruit,whipped/sour cream,cream cheese,,,
bottled water,chicken,whipped/sour cream,sausage,shopping bags,,,,,
detergent,whole milk,hamburger meat,chicken,bottled water,brown bread,rolls/buns,,,
curd,whipped/sour cream,cream cheese,citrus fruit,,,,,,
brown bread,,,,,,,,,
root vegetables,napkins,ice cream,frozen vegetables,tropical fruit,,,,,
margarine,pip fruit,brown bread,whole milk,fruit/vegetable juice,,,,,
sausage,shopping bags,,,,,,,,
newspapers,chicken,rolls/buns,cream cheese,hamburger meat,,,,,
chicken,curd,newspapers,coffee,frozen vegetables,domestic eggs,fruit/vegetable juice,cream cheese,sausage,
fruit/vegetable juice,cream cheese,pastry,frozen vegetables,,,,,,
pork,curd,citrus fruit,,,,,,,
shopping bags,sausage,rolls/buns,cream cheese,frozen vegetables,whipped/sour cream,napkins,fruit/vegetable juice,pip fruit,brown bread
other vegetables,,,,,,,,,
sausage,chicken,newspapers,coffee,butter,other vegetables,pastry,,,
newspapers,butter,frozen vegetables,soda,chicken,bottled water,ice cream,whipped/sour cream,detergent,
cream cheese,butter,pork,whole milk,domestic eggs,detergent,curd,,,
napkins,soda,butter,,,,,,,
soda,newspapers,pip fruit,rolls/buns,other vegetables,,,,,
butter,brown bread,newspapers,bottled water,frozen vegetables,other vegetables,hamburger meat,,,
tropical fruit,rolls/buns,whipped/sour cream,,,,,,,
pip fruit,bottled water,shopping bags,sausage,rolls/buns,fruit/vegetable juice,margarine,pastry,soda,pork
other vegetables,root vegetables,frozen vegetables,brown bread,,,,,,
soda,curd,citrus fruit,newspapers,fruit/vegetable juice,domestic eggs,,,,
pastry,domestic eggs,soda,yogurt,bottled water,brown bread,,,,
rolls/buns,domestic eggs,whole milk,yogurt,pork,,,,,
other vegetables,frozen vegetables,chicken,newspapers,butter,,,,,
shopping bags,fruit/vegetable juice,pip fruit,chicken,margarine,other vegetables,whipped/sour cream,curd,domestic eggs,
pork,tropical fruit,margarine,other vegetables,whipped/sour cream,,,,,
detergent,whipped/sour cream,pork,root vegetables,brown bread,domestic eggs,whole milk,,,
shopping bags,rolls/buns,brown bread,sausage,,,,,,
brown bread,whole milk,pork,detergent,pip fruit,newspapers,coffee,cream cheese,,
sausage,whipped/sour cream,ice cream,,,,,,,
newspapers,fruit/vegetable juice,shopping bags,sausage,coffee,frozen vegetables,napkins,soda,citrus fruit,pip fruit
coffee,,,,,,,,,
bottled water,,,,,,,,,
detergent,tropical fruit,napkins,,,,,,,
pastry,ice cream,domestic eggs,,,,,,,
shopping bags,whipped/sour cream,frozen vegetables,yogurt,root vegetables,whole milk,,,,
coffee,other vegetables,detergent,whole milk,,,,,,
pastry,margarine,shopping bags,pork,coffee,bottled water,other vegetables,butter,,
cream cheese,soda,tropical fruit,other vegetables,,,,,,
fruit/vegetable juice,napkins,tropical fruit,,,,,,,
sausage,citrus fruit,newspapers,pastry,ice cream,brown bread,margarine,frozen vegetables,chicken,
yogurt,pork,butter,whipped/sour cream,root vegetables,,,,,
citrus fruit,tropical fruit,,,,,,,,
newspapers,rolls/buns,whipped/sour cream,soda,sausage,whole milk,tropical fruit,bottled water,,
margarine,frozen vegetables,citrus fruit,,,,,,,
pastry,tropical fruit,yogurt,root vegetables,hamburger meat,,,,,
hamburger meat,detergent,shopping bags,pip fruit,coffee,ice cream,bottled water,pastry,,
newspapers,pork,yogurt,domestic eggs,curd,butter,frozen vegetables,,,
root vegetables,ice cream,chicken,soda,whipped/sour cream,cream cheese,tropical fruit,,,
tropical fruit,frozen vegetables,coffee,fruit/vegetable juice,whipped/sour cream,whole milk,yogurt,newspapers,soda,citrus fruit
tropical fruit,root vegetables,pip fruit,margarine,whipped/sour cream,napkins,ice cream,butter,pork,
frozen vegetables,soda,butter,,,,,,,
pip fruit,margarine,frozen vegetables,other vegetables,,,,,,
citrus fruit,frozen vegetables,hamburger meat,whole milk,pastry,detergent,chicken,brown bread,,
yogurt,sausage,,,,,,,,
pastry,,,,,,,,,
root vegetables,cream cheese,brown bread,hamburger meat,citrus fruit,bottled water,ice cream,other vegetables,yogurt,
soda,detergent,,,,,,,,
domestic eggs,,,,,,,,,
yogurt,sausage,whipped/sour cream,pastry,other vegetables,root vegetables,citrus fruit,margarine,pip fruit,
tropical fruit,bottled water,yogurt,root vegetables,pork,pip fruit,detergent,pastry,,
butter,rolls/buns,,,,,,,,
whole milk,domestic eggs,bottled water,rolls/buns,citrus fruit,whipped/sour cream,pork,yogurt,root vegetables,
frozen vegetables,brown bread,newspapers,tropical fruit,root vegetables,fruit/vegetable juice,rolls/buns,,,
hamburger meat,cream cheese,rolls/buns,yogurt,,,,,,
sausage,pip fruit,fruit/vegetable juice,butter,yogurt,detergent,shopping bags,whole milk,bottled water,frozen vegetables
soda,hamburger meat,ice cream,yogurt,pork,detergent,,,,
curd,margarine,citrus fruit,coffee,fruit/vegetable juice,napkins,hamburger meat,,,
curd,,,,,,,,,
root vegetables,pork,shopping bags,,,,,,,
coffee,newspapers,domestic eggs,root vegetables,fruit/vegetable juice,citrus fruit,pip fruit,margarine,butter,tropical fruit
shopping bags,other vegetables,,,,,,,,
fruit/vegetable juice,domestic eggs,bottled water,rolls/buns,whipped/sour cream,,,,,
soda,other vegetables,shopping bags,hamburger meat,curd,fruit/vegetable juice,domestic eggs,pastry,root vegetables,
pip fruit,chicken,tropical fruit,other vegetables,shopping bags,napkins,root vegetables,curd,hamburger meat,
hamburger meat,fruit/vegetable juice,whole milk,other vegetables,domestic eggs,,,,,
ice cream,hamburger meat,rolls/buns,napkins,cream cheese,,,,,
hamburger meat,shopping bags,cream cheese,bottled water,pork,margarine,ice cream,citrus fruit,,
rolls/buns,bottled water,frozen vegetables,napkins,shopping bags,,,,,
tropical fruit,rolls/buns,curd,newspapers,pork,pastry,other vegetables,citrus fruit,,
sausage,rolls/buns,whipped/sour cream,brown bread,pastry,cream cheese,,,,
detergent,,,,,,,,,
sausage,ice cream,soda,cream cheese,fruit/vegetable juice,,,,,
pork,margarine,shopping bags,root vegetables,other vegetables,coffee,newspapers,,,
curd,whipped/sour cream,butter,pip fruit,sausage,domestic eggs,chicken,hamburger meat,,
sausage,pip fruit,tropical fruit,hamburger meat,soda,napkins,other vegetables,ice cream,whipped/sour cream,
margarine,tropical fruit,whole milk,brown bread,yogurt,citrus fruit,whipped/sour cream,,,
tropical fruit,chicken,rolls/buns,other vegetables,root vegetables,whole milk,bottled water,ice cream,soda,butter
pip fruit,coffee,ice cream,,,,,,,
yogurt,,,,,,,,,
butter,,,,,,,,,
detergent,newspapers,hamburger meat,butter,,,,,,
pastry,domestic eggs,citrus fruit,soda,root vegetables,rolls/buns,frozen vegetables,,,
whole milk,,,,,,,,,
sausage,newspapers,rolls/buns,shopping bags,yogurt,coffee,ice cream,brown bread,detergent,
frozen vegetables,root vegetables,pork,butter,hamburger meat,domestic eggs,citrus fruit,ice cream,pip fruit,pastry
pork,soda,frozen vegetables,root vegetables,domestic eggs,,,,,
frozen vegetables,curd,whipped/sour cream,,,,,,,
frozen vegetables,other vegetables,butter,,,,,,,
brown bread,,,,,,,,,
detergent,butter,bottled water,other vegetables,domestic eggs,pip fruit,citrus fruit,,,
pip fruit,rolls/buns,ice cream,whole milk,bottled water,napkins,tropical fruit,detergent,margarine,pastry
coffee,newspapers,hamburger meat,tropical fruit,,,,,,
whipped/sour cream,ice cream,hamburger meat,shopping bags,rolls/buns,citrus fruit,bottled water,fruit/vegetable juice,detergent,butter
whole milk,root vegetables,soda,curd,rolls/buns,,,,,
pip fruit,curd,fruit/vegetable juice,rolls/buns,newspapers,,,,,
shopping bags,coffee,ice cream,whipped/sour cream,other vegetables,yogurt,frozen vegetables,whole milk,chicken,brown bread
pip fruit,citrus fruit,coffee,whole milk,,,,,,
soda,brown bread,curd,hamburger meat,detergent,,,,,
butter,,,,,,,,,
coffee,pastry,yogurt,root vegetables,bottled water,butter,,,,
rolls/buns,detergent,napkins,,,,,,,
shopping bags,,,,,,,,,
ice cream,sausage,shopping bags,butter,detergent,other vegetables,yogurt,,,
hamburger meat,whole milk,newspapers,,,,,,,
sausage,,,,,,,,,
shopping bags,ice cream,bottled water,butter,,,,,,
soda,hamburger meat,other vegetables,,,,,,,
newspapers,,,,,,,,,
frozen vegetables,whipped/sour cream,pastry,hamburger meat,domestic eggs,cream cheese,,,,
rolls/buns,pork,curd,whole milk,napkins,cream cheese,detergent,brown bread,fruit/vegetable juice,margarine
napkins,fruit/vegetable juice,rolls/buns,whipped/sour cream,,,,,,
ice cream,hamburger meat,,,,,,,,
rolls/buns,whole milk,chicken,,,,,,,
margarine,whipped/sour cream,newspapers,napkins,ice cream,tropical fruit,shopping bags,whole milk,root vegetables,pork
root vegetables,detergent,pip fruit,sausage,brown bread,shopping bags,cream cheese,soda,,
margarine,pork,yogurt,newspapers,tropical fruit,rolls/buns,bottled water,domestic eggs,other vegetables,
margarine,root vegetables,bottled water,tropical fruit,newspapers,frozen vegetables,sausage,brown bread,,
chicken,tropical fruit,margarine,frozen vegetables,whipped/sour cream,brown bread,curd,hamburger meat,,
coffee,citrus fruit,napkins,pork,whipped/sour cream,domestic eggs,yogurt,tropical fruit,,
pastry,newspapers,coffee,napkins,sausage,curd,tropical fruit,fruit/vegetable juice,whipped/sour cream,domestic eggs
newspapers,coffee,butter,chicken,tropical fruit,pork,margarine,,,
chicken,bottled water,soda,brown bread,,,,,,
soda,whipped/sour cream,sausage,brown bread,napkins,,,,,
brown bread,pastry,newspapers,hamburger meat,citrus fruit,margarine,whipped/sour cream,yogurt,domestic eggs,
shopping bags,domestic eggs,,,,,,,,
pip fruit,cream cheese,citrus fruit,soda,pork,fruit/vegetable juice,coffee,domestic eggs,,
napkins,,,,,,,,,
pastry,cream cheese,root vegetables,other vegetables,napkins,fruit/vegetable juice,chicken,margarine,,
soda,butter,coffee,shopping bags,margarine,rolls/buns,whipped/sour cream,newspapers,brown bread,
pastry,brown bread,newspapers,soda,napkins,tropical fruit,chicken,whipped/sour cream,curd,
fruit/vegetable juice,sausage,shopping bags,,,,,,,
cream cheese,whole milk,citrus fruit,root vegetables,fruit/vegetable juice,hamburger meat,whipped/sour cream,detergent,,
fruit/vegetable juice,shopping bags,pastry,frozen vegetables,domestic eggs,coffee,brown bread,other vegetables,,
pip fruit,whole milk,shopping bags,fruit/vegetable juice,brown bread,,,,,
tropical fruit,root vegetables,yogurt,,,,,,,
hamburger meat,pip fruit,pastry,newspapers,,,,,,
rolls/buns,yogurt,pastry,sausage,curd,ice cream,hamburger meat,,,
curd,sausage,fruit/vegetable juice,,,,,,,
citrus fruit,whipped/sour cream,detergent,rolls/buns,,,,,,
whole milk,,,,,,,,,
pip fruit,rolls/buns,detergent,,,,,,,
coffee,,,,,,,,,
rolls/buns,hamburger meat,pip fruit,,,,,,,
pork,pip fruit,root vegetables,whipped/sour cream,hamburger meat,,,,,
chicken,,,,,,,,,
yogurt,detergent,other vegetables,domestic eggs,shopping bags,frozen vegetables,pip fruit,tropical fruit,pastry,
pastry,butter,other vegetables,frozen vegetables,curd,shopping bags,soda,chicken,tropical fruit,whole milk
pip fruit,margarine,yogurt,,,,,,,
frozen vegetables,domestic eggs,whole milk,,,,,,,
other vegetables,whipped/sour cream,tropical fruit,yogurt,frozen vegetables,butter,chicken,ice cream,,
brown bread,root vegetables,,,,,,,,
pastry,domestic eggs,frozen vegetables,rolls/buns,hamburger meat,pork,curd,tropical fruit,coffee,
frozen vegetables,margarine,root vegetables,,,,,,,
cream cheese,napkins,,,,,,,,
soda,pork,rolls/buns,domestic eggs,frozen vegetables,,,,,
other vegetables,sausage,brown bread,pip fruit,frozen vegetables,,,,,
bottled water,whole milk,fruit/vegetable juice,shopping bags,coffee,newspapers,yogurt,napkins,,
pork,tropical fruit,napkins,hamburger meat,whole milk,margarine,soda,domestic eggs,shopping bags,sausage
citrus fruit,curd,rolls/buns,butter,shopping bags,pastry,brown bread,bottled water,,
pip fruit,cream cheese,brown bread,ice cream,domestic eggs,,,,,
butter,margarine,other vegetables,,,,,,,
yogurt,sausage,hamburger meat,,,,,,,
citrus fruit,pastry,sausage,tropical fruit,other vegetables,whole milk,yogurt,,,
other vegetables,pip fruit,cream cheese,root vegetables,pork,yogurt,,,,
ice cream,soda,whipped/sour cream,newspapers,margarine,fruit/vegetable juice,,,,
pip fruit,napkins,chicken,,,,,,,
coffee,tropical fruit,hamburger meat,whole milk,soda,root vegetables,curd,bottled water,domestic eggs,
coffee,,,,,,,,,
coffee,frozen vegetables,pastry,other vegetables,margarine,curd,napkins,ice cream,tropical fruit,newspapers
margarine,detergent,brown bread,curd,shopping bags,,,,,
hamburger meat,frozen vegetables,cream cheese,ice cream,other vegetables,,,,,
rolls/buns,whipped/sour cream,domestic eggs,fruit/vegetable juice,,,,,,
chicken,newspapers,sausage,napkins,cream cheese,,,,,
pastry,tropical fruit,pip fruit,sausage,soda,chicken,butter,whipped/sour cream,brown bread,yogurt
curd,rolls/buns,whipped/sour cream,frozen vegetables,citrus fruit,,,,,
root vegetables,cream cheese,,,,,,,,
brown bread,detergent,pork,margarine,,,,,,
chicken,root vegetables,yogurt,other vegetables,curd,hamburger meat,cream cheese,rolls/buns,whipped/sour cream,
soda,ice cream,brown bread,root vegetables,chicken,fruit/vegetable juice,frozen vegetables,,,
pork,domestic eggs,pip fruit,other vegetables,,,,,,
fruit/vegetable juice,brown bread,pork,whipped/sour cream,,,,,,
citrus fruit,coffee,pastry,pork,,,,,,
soda,,,,,,,,,
newspapers,whipped/sour cream,soda,,,,,,,
rolls/buns,newspapers,frozen vegetables,curd,brown bread,sausage,chicken,cream cheese,other vegetables,
cream cheese,margarine,,,,,,,,
newspapers,hamburger meat,coffee,,,,,,,
rolls/buns,cream cheese,brown bread,other vegetables,whipped/sour cream,pastry,newspapers,bottled water,root vegetables,napkins
root vegetables,butter,,,,,,,,
cream cheese,curd,shopping bags,fruit/vegetable juice,domestic eggs,rolls/buns,citrus fruit,,,
rolls/buns,whole milk,fruit/vegetable juice,cream cheese,bottled water,ice cream,,,,
curd,,,,,,,,,
root vegetables,pork,chicken,,,,,,,
shopping bags,curd,newspapers,citrus fruit,frozen vegetables,yogurt,detergent,soda,ice cream,tropical fruit
coffee,butter,tropical fruit,soda,shopping bags,hamburger meat,brown bread,whipped/sour cream,,
shopping bags,,,,,,,,,
curd,pork,shopping bags,tropical fruit,citrus fruit,domestic eggs,soda,pip fruit,rolls/buns,
soda,whipped/sour cream,hamburger meat,sausage,frozen vegetables,coffee,pip fruit,other vegetables,bottled water,curd
chicken,napkins,,,,,,,,
other vegetables,whole milk,newspapers,pork,yogurt,citrus fruit,domestic eggs,chicken,,
citrus fruit,napkins,sausage,pip fruit,,,,,,
hamburger meat,napkins,chicken,whipped/sour cream,,,,,,
rolls/buns,newspapers,chicken,fruit/vegetable juice,,,,,,
whole milk,cream cheese,,,,,,,,
napkins,,,,,,,,,
rolls/buns,yogurt,margarine,hamburger meat,bottled water,citrus fruit,tropical fruit,pastry,,
sausage,,,,,,,,,
newspapers,brown bread,frozen vegetables,butter,margarine,sausage,whipped/sour cream,coffee,,
root vegetables,napkins,cream cheese,,,,,,,
ice cream,whipped/sour cream,fruit/vegetable juice,cream cheese,brown bread,,,,,
citrus fruit,butter,brown bread,shopping bags,,,,,,
curd,frozen vegetables,coffee,soda,,,,,,
sausage,newspapers,fruit/vegetable juice,domestic eggs,other vegetables,cream cheese,,,,
yogurt,bottled water,pork,brown bread,shopping bags,fruit/vegetable juice,whole milk,chicken,,
citrus fruit,chicken,brown bread,curd,pip fruit,whole milk,tropical fruit,coffee,sausage,fruit/vegetable juice
sausage,whipped/sour cream,butter,yogurt,chicken,ice cream,tropical fruit,brown bread,newspapers,
yogurt,ice cream,other vegetables,frozen vegetables,bottled water,coffee,domestic eggs,curd,soda,napkins
sausage,coffee,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,
pastry,detergent,shopping bags,,,,,,,
rolls/buns,coffee,soda,detergent,frozen vegetables,,,,,
frozen vegetables,sausage,yogurt,whole milk,shopping bags,brown bread,curd,,,
pork,whipped/sour cream,,,,,,,,
rolls/buns,brown bread,root vegetables,sausage,ice cream,hamburger meat,fruit/vegetable juice,pastry,yogurt,bottled water
domestic eggs,yogurt,cream cheese,coffee,rolls/buns,,,,,
cream cheese,brown bread,margarine,soda,,,,,,
pastry,,,,,,,,,
fruit/vegetable juice,rolls/buns,frozen vegetables,whipped/sour cream,whole milk,other vegetables,sausage,soda,,
sausage,hamburger meat,,,,,,,,
pastry,fruit/vegetable juice,sausage,detergent,bottled water,,,,,
hamburger meat,pork,,,,,,,,
brown bread,napkins,margarine,pork,,,,,,
ice cream,pork,soda,napkins,whole milk,,,,,
hamburger meat,soda,pip fruit,,,,,,,
margarine,other vegetables,pork,pastry,bottled water,fruit/vegetable juice,brown bread,,,
root vegetables,other vegetables,sausage,coffee,pip fruit,bottled water,fruit/vegetable juice,,,
chicken,butter,other vegetables,frozen vegetables,whole milk,detergent,,,,
whole milk,shopping bags,,,,,,,,
newspapers,bottled water,ice cream,soda,brown bread,chicken,sausage,,,
chicken,pork,fruit/vegetable juice,butter,brown bread,pip fruit,,,,
bottled water,rolls/buns,brown bread,detergent,margarine,newspapers,,,,
butter,,,,,,,,,
rolls/buns,ice cream,tropical fruit,brown bread,,,,,,
pork,bottled water,domestic eggs,brown bread,root vegetables,whole milk,tropical fruit,other vegetables,chicken,
coffee,newspapers,yogurt,pork,,,,,,
hamburger meat,bottled water,rolls/buns,frozen vegetables,tropical fruit,chicken,napkins,margarine,butter,whipped/sour cream
frozen vegetables,butter,napkins,fruit/vegetable juice,sausage,detergent,shopping bags,pip fruit,,
sausage,soda,domestic eggs,whole milk,chicken,frozen vegetables,,,,
pastry,ice cream,yogurt,,,,,,,
pastry,coffee,pork,sausage,tropical fruit,whipped/sour cream,root vegetables,margarine,whole milk,
pastry,detergent,,,,,,,,
rolls/buns,,,,,,,,,
other vegetables,whole milk,citrus fruit,rolls/buns,cream cheese,,,,,
other vegetables,detergent,yogurt,shopping bags,curd,butter,soda,pip fruit,bottled water,fruit/vegetable juice
chicken,pork,soda,sausage,,,,,,
other vegetables,soda,,,,,,,,
coffee,,,,,,,,,
shopping bags,tropical fruit,napkins,newspapers,chicken,whole milk,butter,,,
hamburger meat,tropical fruit,,,,,,,,
tropical fruit,citrus fruit,pork,newspapers,yogurt,root vegetables,whipped/sour cream,soda,detergent,
pork,,,,,,,,,
root vegetables,soda,citrus fruit,fruit/vegetable juice,rolls/buns,sausage,chicken,,,
yogurt,,,,,,,,,
napkins,ice cream,root vegetables,frozen vegetables,chicken,bottled water,pip fruit,curd,whole milk,
other vegetables,margarine,citrus fruit,pork,yogurt,detergent,cream cheese,,,
soda,chicken,sausage,whipped/sour cream,hamburger meat,bottled water,,,,
soda,domestic eggs,pip fruit,brown bread,hamburger meat,root vegetables,,,,
pastry,tropical fruit,whipped/sour cream,butter,,,,,,
soda,,,,,,,,,
fruit/vegetable juice,pork,rolls/buns,curd,other vegetables,margarine,detergent,bottled water,tropical fruit,
bottled water,fruit/vegetable juice,brown bread,detergent,sausage,ice cream,,,,
pork,butter,brown bread,chicken,other vegetables,rolls/buns,margarine,,,
napkins,,,,,,,,,
butter,,,,,,,,,
frozen vegetables,citrus fruit,hamburger meat,detergent,yogurt,coffee,brown bread,bottled water,pastry,
citrus fruit,detergent,fruit/vegetable juice,cream cheese,napkins,whole milk,pastry,pork,butter,coffee
rolls/buns,citrus fruit,butter,ice cream,,,,,,
whole milk,,,,,,,,,
whole milk,,,,,,,,,
bottled water,,,,,,,,,
curd,shopping bags,margarine,bottled water,root vegetables,soda,yogurt,napkins,sausage,
pip fruit,,,,,,,,,
napkins,yogurt,hamburger meat,newspapers,frozen vegetables,whipped/sour cream,,,,
cream cheese,bottled water,,,,,,,,
curd,hamburger meat,citrus fruit,fruit/vegetable juice,pip fruit,frozen vegetables,root vegetables,,,
whipped/sour cream,bottled water,cream cheese,pip fruit,frozen vegetables,tropical fruit,brown bread,,,
sausage,cream cheese,whole milk,soda,newspapers,yogurt,napkins,,,
pork,citrus fruit,root vegetables,pastry,bottled water,rolls/buns,shopping bags,brown bread,whole milk,
bottled water,detergent,soda,whipped/sour cream,napkins,rolls/buns,pastry,,,
hamburger meat,detergent,pastry,soda,bottled water,butter,tropical fruit,margarine,whole milk,fruit/vegetable juice
other vegetables,curd,domestic eggs,coffee,napkins,whole milk,chicken,,,
brown bread,ice cream,,,,,,,,
pork,chicken,bottled water,yogurt,curd,pastry,rolls/buns,frozen vegetables,coffee,newspapers
citrus fruit,tropical fruit,,,,,,,,
newspapers,chicken,other vegetables,napkins,,,,,,
yogurt,napkins,pastry,,,,,,,
pip fruit,butter,soda,fruit/vegetable juice,,,,,,
brown bread,yogurt,,,,,,,,
root vegetables,soda,pastry,bottled water,domestic eggs,rolls/buns,pip fruit,newspapers,,
butter,tropical fruit,,,,,,,,
napkins,,,,,,,,,
chicken,margarine,root vegetables,detergent,ice cream,curd,soda,cream cheese,other vegetables,
brown bread,citrus fruit,cream cheese,napkins,,,,,,
newspapers,yogurt,coffee,sausage,pastry,shopping bags,brown bread,butter,bottled water,
hamburger meat,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,
napkins,domestic eggs,whipped/sour cream,sausage,fruit/vegetable juice,coffee,ice cream,shopping bags,citrus fruit,butter
sausage,hamburger meat,whipped/sour cream,,,,,,,
napkins,pastry,sausage,shopping bags,citrus fruit,,,,,
chicken,other vegetables,napkins,detergent,curd,,,,,
fruit/vegetable juice,,,,,,,,,
coffee,hamburger meat,whole milk,root vegetables,pip fruit,domestic eggs,bottled water,whipped/sour cream,,
newspapers,shopping bags,frozen vegetables,whipped/sour cream,detergent,,,,,
napkins,frozen vegetables,domestic eggs,shopping bags,tropical fruit,fruit/vegetable juice,ice cream,rolls/buns,,
frozen vegetables,,,,,,,,,
bottled water,cream cheese,ice cream,newspapers,domestic eggs,,,,,
other vegetables,napkins,ice cream,domestic eggs,frozen vegetables,whipped/sour cream,pastry,coffee,whole milk,
chicken,tropical fruit,curd,whole milk,newspapers,brown bread,pork,cream cheese,shopping bags,
shopping bags,napkins,rolls/buns,pork,newspapers,whole milk,frozen vegetables,fruit/vegetable juice,,
butter,,,,,,,,,
pip fruit,,,,,,,,,
domestic eggs,root vegetables,,,,,,,,
butter,margarine,rolls/buns,,,,,,,
napkins,domestic eggs,pastry,,,,,,,
fruit/vegetable juice,whole milk,yogurt,frozen vegetables,rolls/buns,soda,detergent,domestic eggs,shopping bags,pip fruit
yogurt,pastry,chicken,newspapers,napkins,rolls/buns,curd,,,
tropical fruit,margarine,,,,,,,,
chicken,other vegetables,pork,domestic eggs,pastry,,,,,
rolls/buns,chicken,cream cheese,pip fruit,sausage,curd,whole milk,pastry,,
coffee,pip fruit,hamburger meat,pastry,butter,bottled water,,,,
hamburger meat,brown bread,ice cream,,,,,,,
rolls/buns,other vegetables,pork,pastry,pip fruit,coffee,whipped/sour cream,root vegetables,yogurt,
root vegetables,bottled water,pork,yogurt,rolls/buns,sausage,newspapers,,,
napkins,brown bread,pork,citrus fruit,,,,,,
cream cheese,chicken,,,,,,,,
bottled water,margarine,shopping bags,pip fruit,newspapers,rolls/buns,sausage,detergent,pastry,curd
other vegetables,hamburger meat,butter,shopping bags,,,,,,
root vegetables,brown bread,domestic eggs,newspapers,curd,cream cheese,napkins,,,
frozen vegetables,cream cheese,brown bread,,,,,,,
other vegetables,whipped/sour cream,sausage,citrus fruit,detergent,curd,soda,ice cream,root vegetables,
other vegetables,butter,root vegetables,domestic eggs,pastry,newspapers,,,,
chicken,coffee,,,,,,,,
rolls/buns,other vegetables,,,,,,,,
newspapers,tropical fruit,whole milk,cream cheese,curd,frozen vegetables,,,,
napkins,,,,,,,,,
detergent,other vegetables,butter,citrus fruit,chicken,rolls/buns,frozen vegetables,,,
newspapers,pip fruit,yogurt,citrus fruit,sausage,fruit/vegetable juice,whole milk,bottled water,soda,
pip fruit,,,,,,,,,
chicken,frozen vegetables,pip fruit,ice cream,hamburger meat,curd,butter,root vegetables,sausage,tropical fruit
citrus fruit,domestic eggs,margarine,pip fruit,pastry,rolls/buns,shopping bags,,,
pork,,,,,,,,,
