Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
sausage,butter,coffee,chicken,ice cream,frozen vegetables,whipped/sour cream,tropical fruit,,
ice cream,margarine,citrus fruit,sausage,napkins,pip fruit,butter,root vegetables,,
ice cream,frozen vegetables,,,,,,,,
brown bread,pork,citrus fruit,,,,,,,
soda,fruit/vegetable juice,,,,,,,,
tropical fruit,butter,soda,brown bread,napkins,,,,,
sausage,frozen vegetables,pastry,detergent,whole milk,pork,domestic eggs,hamburger meat,shopping bags,
whipped/sour cream,coffee,sausage,rolls/buns,frozen vegetables,margarine,,,,
curd,citrus fruit,root vegetables,ice cream,,,,,,
whole milk,root vegetables,,,,,,,,
citrus fruit,ice cream,whole milk,newspapers,frozen vegetables,soda,root vegetables,chicken,fruit/vegetable juice,
ice cream,newspapers,pastry,pork,rolls/buns,pip fruit,root vegetables,,,
other vegetables,detergent,root vegetables,coffee,chicken,sausage,tropical fruit,pastry,shopping bags,
hamburger meat,domestic eggs,ice cream,,,,,,,
detergent,,,,,,,,,
frozen vegetables,chicken,hamburger meat,citrus fruit,detergent,pip fruit,sausage,,,
fruit/vegetable juice,butter,whipped/sour cream,root vegetables,,,,,,
detergent,root vegetables,other vegetables,pastry,frozen vegetables,ice cream,newspapers,tropical fruit,bottled water,curd
domestic eggs,pork,pastry,hamburger meat,napkins,,,,,
butter,pastry,soda,napkins,,,,,,
pork,newspapers,frozen vegetables,chicken,margarine,other vegetables,shopping bags,root vegetables,,
pastry,other vegetables,root vegetables,hamburger meat,rolls/buns,,,,,
tropical fruit,frozen vegetables,pastry,whole milk,ice cream,napkins,citrus fruit,domestic eggs,whipped/sour cream,
fruit/vegetable juice,whipped/sour cream,margarine,butter,other vegetables,brown bread,curd,napkins,cream cheese,
whole milk,citrus fruit,hamburger meat,pip fruit,ice cream,curd,detergent,,,
root vegetables,pork,soda,curd,fruit/vegetable juice,coffee,,,,
tropical fruit,,,,,,,,,
pork,curd,sausage,soda,brown bread,chicken,rolls/buns,frozen vegetables,,
coffee,napkins,citrus fruit,pork,tropical fruit,,,,,
detergent,margarine,tropical fruit,,,,,,,
hamburger meat,root vegetables,soda,chicken,domestic eggs,whipped/sour cream,tropical fruit,pip fruit,,
frozen vegetables,,,,,,,,,
margarine,other vegetables,bottled water,whipped/sour cream,soda,domestic eggs,hamburger meat,coffee,whole milk,
rolls/buns,shopping bags,curd,newspapers,pip fruit,sausage,,,,
brown bread,cream cheese,pip fruit,yogurt,fruit/vegetable juice,other vegetables,,,,
pastry,citrus fruit,curd,,,,,,,
whole milk,pastry,,,,,,,,
domestic eggs,chicken,detergent,,,,,,,
whipped/sour cream,sausage,detergent,,,,,,,
root vegetables,,,,,,,,,
rolls/buns,ice cream,,,,,,,,
ice cream,,,,,,,,,
cream cheese,napkins,brown bread,curd,hamburger meat,pip fruit,pastry,bottled water,whole milk,detergent
detergent,bottled water,whole milk,butter,sausage,domestic eggs,newspapers,root vegetables,,
root vegetables,brown bread,hamburger meat,rolls/buns,domestic eggs,margarine,,,,
pastry,whipped/sour cream,ice cream,,,,,,,
cream cheese,pork,whipped/sour cream,bottled water,ice cream,soda,chicken,butter,whole milk,pip fruit
whipped/sour cream,shopping bags,pork,,,,,,,
pip fruit,rolls/buns,napkins,fruit/vegetable juice,curd,frozen vegetables,hamburger meat,other vegetables,cream cheese,
coffee,yogurt,tropical fruit,chicken,brown bread,,,,,
whipped/sour cream,pip fruit,domestic eggs,,,,,,,
fruit/vegetable juice,sausage,ice cream,pastry,shopping bags,newspapers,rolls/buns,root vegetables,tropical fruit,
newspapers,domestic eggs,butter,,,,,,,
whipped/sour cream,domestic eggs,ice cream,,,,,,,
cream cheese,,,,,,,,,
frozen vegetables,,,,,,,,,
pip fruit,detergent,butter,whipped/sour cream,,,,,,
margarine,whole milk,curd,coffee,,,,,,
whipped/sour cream,newspapers,hamburger meat,rolls/buns,,,,,,
butter,ice cream,pip fruit,,,,,,,
bottled water,,,,,,,,,
pip fruit,chicken,ice cream,whole milk,newspapers,pastry,brown bread,rolls/buns,cream cheese,coffee
rolls/buns,,,,,,,,,
rolls/buns,whole milk,frozen vegetables,pip fruit,newspapers,chicken,,,,
butter,hamburger meat,,,,,,,,
shopping bags,margarine,whipped/sour cream,domestic eggs,root vegetables,bottled water,,,,
frozen vegetables,ice cream,brown bread,,,,,,,
sausage,pastry,margarine,yogurt,butter,,,,,
rolls/buns,napkins,whipped/sour cream,whole milk,shopping bags,,,,,
whole milk,chicken,tropical fruit,,,,,,,
pip fruit,brown bread,pastry,whole milk,margarine,frozen vegetables,citrus fruit,butter,soda,shopping bags
newspapers,tropical fruit,cream cheese,,,,,,,
pip fruit,soda,,,,,,,,
pork,whipped/sour cream,newspapers,rolls/buns,yogurt,frozen vegetables,,,,
sausage,pip fruit,detergent,,,,,,,
sausage,frozen vegetables,butter,rolls/buns,other vegetables,fruit/vegetable juice,tropical fruit,soda,ice cream,
tropical fruit,,,,,,,,,
citrus fruit,frozen vegetables,curd,other vegetables,root vegetables,pip fruit,,,,
rolls/buns,pip fruit,citrus fruit,,,,,,,
rolls/buns,brown bread,newspapers,fruit/vegetable juice,ice cream,detergent,hamburger meat,citrus fruit,pip fruit,tropical fruit
curd,cream cheese,tropical fruit,pip fruit,,,,,,
tropical fruit,,,,,,,,,
frozen vegetables,pastry,chicken,butter,rolls/buns,yogurt,root vegetables,whipped/sour cream,whole milk,domestic eggs
newspapers,coffee,root vegetables,other vegetables,pork,,,,,
ice cream,,,,,,,,,
whole milk,other vegetables,bottled water,detergent,napkins,pork,coffee,pip fruit,yogurt,curd
rolls/buns,napkins,,,,,,,,
sausage,rolls/buns,brown bread,,,,,,,
brown bread,napkins,,,,,,,,
chicken,margarine,bottled water,curd,other vegetables,tropical fruit,fruit/vegetable juice,,,
whipped/sour cream,detergent,shopping bags,frozen vegetables,other vegetables,hamburger meat,domestic eggs,pip fruit,,
citrus fruit,,,,,,,,,
soda,cream cheese,pastry,detergent,,,,,,
yogurt,other vegetables,hamburger meat,,,,,,,
margarine,domestic eggs,coffee,detergent,other vegetables,bottled water,,,,
butter,hamburger meat,soda,chicken,yogurt,margarine,tropical fruit,,,
sausage,,,,,,,,,
shopping bags,napkins,bottled water,cream cheese,ice cream,hamburger meat,coffee,,,
shopping bags,newspapers,hamburger meat,domestic eggs,,,,,,
margarine,other vegetables,pip fruit,,,,,,,
hamburger meat,rolls/buns,root vegetables,,,,,,,
citrus fruit,pork,domestic eggs,napkins,frozen vegetables,butter,,,,
yogurt,,,,,,,,,
pastry,whole milk,sausage,ice cream,tropical fruit,coffee,,,,
whole milk,detergent,pork,pastry,napkins,fruit/vegetable juice,curd,bottled water,shopping bags,
other vegetables,soda,butter,hamburger meat,newspapers,root vegetables,pastry,sausage,citrus fruit,margarine
coffee,whipped/sour cream,hamburger meat,chicken,rolls/buns,brown bread,,,,
curd,fruit/vegetable juice,bottled water,domestic eggs,,,,,,
butter,napkins,domestic eggs,pork,whole milk,fruit/vegetable juice,,,,
pork,brown bread,soda,cream cheese,detergent,butter,root vegetables,pip fruit,hamburger meat,
pork,frozen vegetables,citrus fruit,detergent,butter,,,,,
brown bread,sausage,pork,margarine,frozen vegetables,yogurt,pastry,other vegetables,,
yogurt,cream cheese,rolls/buns,soda,ice cream,tropical fruit,butter,detergent,hamburger meat,
pip fruit,,,,,,,,,
cream cheese,citrus fruit,root vegetables,brown bread,fruit/vegetable juice,detergent,,,,
curd,pork,cream cheese,ice cream,whipped/sour cream,brown bread,chicken,detergent,sausage,
rolls/buns,ice cream,bottled water,,,,,,,
yogurt,tropical fruit,pork,detergent,cream cheese,bottled water,pip fruit,rolls/buns,,
curd,citrus fruit,butter,,,,,,,
brown bread,yogurt,pork,margarine,napkins,,,,,
ice cream,frozen vegetables,butter,newspapers,detergent,,,,,
citrus fruit,shopping bags,cream cheese,ice cream,rolls/buns,,,,,
hamburger meat,rolls/buns,,,,,,,,
newspapers,whipped/sour cream,citrus fruit,ice cream,other vegetables,cream cheese,,,,
brown bread,bottled water,tropical fruit,whole milk,domestic eggs,coffee,butter,newspapers,other vegetables,
yogurt,shopping bags,hamburger meat,bottled water,pork,pip fruit,whipped/sour cream,,,
domestic eggs,yogurt,margarine,detergent,other vegetables,shopping bags,,,,
domestic eggs,margarine,,,,,,,,
hamburger meat,margarine,domestic eggs,,,,,,,
pip fruit,ice cream,tropical fruit,other vegetables,,,,,,
margarine,detergent,whipped/sour cream,,,,,,,
pip fruit,domestic eggs,root vegetables,brown bread,citrus fruit,rolls/buns,sausage,shopping bags,soda,
bottled water,,,,,,,,,
whipped/sour cream,chicken,brown bread,detergent,yogurt,whole milk,newspapers,,,
citrus fruit,whipped/sour cream,sausage,frozen vegetables,curd,root vegetables,,,,
napkins,hamburger meat,,,,,,,,
sausage,coffee,,,,,,,,
soda,margarine,chicken,curd,rolls/buns,hamburger meat,other vegetables,yogurt,pastry,whipped/sour cream
chicken,bottled water,cream cheese,citrus fruit,butter,napkins,,,,
hamburger meat,other vegetables,rolls/buns,frozen vegetables,,,,,,
other vegetables,domestic eggs,citrus fruit,frozen vegetables,yogurt,cream cheese,root vegetables,tropical fruit,margarine,sausage
pork,brown bread,hamburger meat,,,,,,,
shopping bags,coffee,newspapers,curd,pastry,rolls/buns,,,,
detergent,newspapers,napkins,brown bread,citrus fruit,cream cheese,whipped/sour cream,,,
coffee,newspapers,soda,bottled water,citrus fruit,pip fruit,shopping bags,other vegetables,hamburger meat,chicken
brown bread,root vegetables,pastry,whipped/sour cream,detergent,domestic eggs,,,,
butter,cream cheese,napkins,pip fruit,pastry,detergent,tropical fruit,yogurt,,
soda,coffee,pip fruit,citrus fruit,detergent,butter,frozen vegetables,pastry,,
domestic eggs,detergent,whole milk,cream cheese,newspapers,shopping bags,,,,
napkins,soda,pastry,curd,margarine,,,,,
other vegetables,napkins,cream cheese,brown bread,fruit/vegetable juice,butter,whole milk,newspapers,,
whipped/sour cream,pork,shopping bags,,,,,,,
newspapers,other vegetables,pip fruit,tropical fruit,soda,,,,,
frozen vegetables,rolls/buns,fruit/vegetable juice,coffee,butter,pastry,yogurt,citrus fruit,,
ice cream,soda,domestic eggs,bottled water,,,,,,
coffee,frozen vegetables,sausage,fruit/vegetable juice,,,,,,
hamburger meat,root vegetables,napkins,pastry,citrus fruit,pork,margarine,brown bread,whipped/sour cream,soda
pork,rolls/buns,tropical fruit,curd,ice cream,detergent,fruit/vegetable juice,frozen vegetables,pip fruit,napkins
fruit/vegetable juice,cream cheese,hamburger meat,other vegetables,soda,,,,,
sausage,brown bread,napkins,soda,ice cream,citrus fruit,,,,
sausage,tropical fruit,root vegetables,shopping bags,fruit/vegetable juice,frozen vegetables,,,,
pip fruit,whipped/sour cream,,,,,,,,
newspapers,coffee,citrus fruit,hamburger meat,,,,,,
soda,rolls/buns,,,,,,,,
sausage,curd,,,,,,,,
shopping bags,domestic eggs,whipped/sour cream,tropical fruit,sausage,rolls/buns,curd,pip fruit,chicken,
shopping bags,whole milk,bottled water,whipped/sour cream,tropical fruit,detergent,,,,
pork,frozen vegetables,,,,,,,,
citrus fruit,bottled water,shopping bags,hamburger meat,pip fruit,margarine,chicken,napkins,,
shopping bags,pastry,brown bread,whipped/sour cream,cream cheese,yogurt,fruit/vegetable juice,,,
ice cream,shopping bags,bottled water,napkins,hamburger meat,other vegetables,,,,
pip fruit,brown bread,shopping bags,coffee,,,,,,
tropical fruit,frozen vegetables,cream cheese,curd,ice cream,citrus fruit,rolls/buns,domestic eggs,hamburger meat,bottled water
citrus fruit,whipped/sour cream,sausage,napkins,yogurt,chicken,domestic eggs,fruit/vegetable juice,root vegetables,
butter,margarine,fruit/vegetable juice,cream cheese,coffee,pastry,sausage,,,
citrus fruit,butter,detergent,fruit/vegetable juice,chicken,,,,,
pork,,,,,,,,,
whole milk,,,,,,,,,
citrus fruit,brown bread,tropical fruit,detergent,,,,,,
cream cheese,citrus fruit,curd,rolls/buns,tropical fruit,root vegetables,margarine,,,
butter,sausage,hamburger meat,,,,,,,
newspapers,butter,tropical fruit,brown bread,cream cheese,,,,,
coffee,rolls/buns,whole milk,root vegetables,,,,,,
domestic eggs,margarine,fruit/vegetable juice,rolls/buns,whole milk,,,,,
margarine,hamburger meat,whipped/sour cream,chicken,yogurt,bottled water,curd,sausage,,
chicken,frozen vegetables,cream cheese,,,,,,,
whole milk,detergent,whipped/sour cream,shopping bags,cream cheese,bottled water,other vegetables,soda,brown bread,
tropical fruit,fruit/vegetable juice,rolls/buns,whole milk,butter,ice cream,bottled water,whipped/sour cream,,
detergent,pastry,coffee,brown bread,margarine,root vegetables,,,,
curd,fruit/vegetable juice,root vegetables,,,,,,,
cream cheese,ice cream,rolls/buns,pork,pip fruit,chicken,,,,
margarine,shopping bags,whole milk,butter,pastry,,,,,
butter,newspapers,,,,,,,,
tropical fruit,margarine,coffee,pastry,pip fruit,,,,,
whole milk,cream cheese,pip fruit,citrus fruit,detergent,,,,,
whipped/sour cream,coffee,margarine,yogurt,citrus fruit,cream cheese,domestic eggs,ice cream,pastry,
pork,frozen vegetables,chicken,domestic eggs,detergent,whole milk,pip fruit,cream cheese,margarine,root vegetables
detergent,,,,,,,,,
cream cheese,ice cream,curd,pastry,citrus fruit,,,,,
rolls/buns,tropical fruit,ice cream,detergent,curd,pork,brown bread,,,
chicken,tropical fruit,ice cream,coffee,hamburger meat,bottled water,napkins,citrus fruit,cream cheese,rolls/buns
napkins,coffee,tropical fruit,butter,chicken,frozen vegetables,ice cream,fruit/vegetable juice,pork,yogurt
domestic eggs,bottled water,pork,root vegetables,,,,,,
whipped/sour cream,shopping bags,hamburger meat,pastry,root vegetables,,,,,
margarine,sausage,detergent,yogurt,whipped/sour cream,napkins,fruit/vegetable juice,coffee,domestic eggs,
curd,chicken,pastry,rolls/buns,cream cheese,sausage,soda,pip fruit,hamburger meat,brown bread
butter,pastry,shopping bags,root vegetables,,,,,,
newspapers,whole milk,domestic eggs,shopping bags,hamburger meat,,,,,
napkins,soda,chicken,fruit/vegetable juice,shopping bags,,,,,
sausage,napkins,yogurt,cream cheese,butter,pip fruit,shopping bags,ice cream,detergent,
margarine,brown bread,,,,,,,,
pip fruit,tropical fruit,butter,sausage,chicken,pastry,root vegetables,fruit/vegetable juice,,
pastry,ice cream,cream cheese,tropical fruit,whole milk,,,,,
butter,pastry,other vegetables,yogurt,tropical fruit,root vegetables,bottled water,cream cheese,whole milk,detergent
brown bread,ice cream,bottled water,,,,,,,
butter,sausage,frozen vegetables,curd,newspapers,whole milk,brown bread,soda,shopping bags,chicken
cream cheese,pastry,newspapers,domestic eggs,hamburger meat,shopping bags,yogurt,frozen vegetables,whipped/sour cream,
shopping bags,hamburger meat,fruit/vegetable juice,pastry,whipped/sour cream,curd,whole milk,pork,tropical fruit,
hamburger meat,ice cream,bottled water,domestic eggs,brown bread,root vegetables,citrus fruit,curd,fruit/vegetable juice,other vegetables
whipped/sour cream,ice cream,other vegetables,domestic eggs,margarine,frozen vegetables,newspapers,tropical fruit,coffee,hamburger meat
whole milk,soda,whipped/sour cream,other vegetables,sausage,napkins,curd,bottled water,,
whipped/sour cream,butter,margarine,pastry,rolls/buns,citrus fruit,ice cream,detergent,other vegetables,
other vegetables,detergent,brown bread,pip fruit,bottled water,,,,,
pip fruit,margarine,whipped/sour cream,hamburger meat,shopping bags,detergent,,,,
sausage,citrus fruit,tropical fruit,cream cheese,detergent,coffee,shopping bags,curd,whipped/sour cream,
hamburger meat,margarine,cream cheese,chicken,tropical fruit,,,,,
frozen vegetables,bottled water,tropical fruit,detergent,other vegetables,napkins,curd,pork,soda,pip fruit
cream cheese,butter,curd,yogurt,shopping bags,pork,frozen vegetables,sausage,domestic eggs,coffee
whole milk,newspapers,pip fruit,rolls/buns,fruit/vegetable juice,whipped/sour cream,soda,chicken,root vegetables,detergent
pip fruit,brown bread,shopping bags,coffee,margarine,tropical fruit,pork,detergent,hamburger meat,
coffee,butter,soda,root vegetables,sausage,curd,cream cheese,rolls/buns,tropical fruit,
detergent,coffee,bottled water,pastry,fruit/vegetable juice,root vegetables,domestic eggs,,,
napkins,curd,butter,brown bread,rolls/buns,domestic eggs,,,,
shopping bags,sausage,curd,ice cream,yogurt,margarine,,,,
coffee,yogurt,curd,bottled water,soda,cream cheese,other vegetables,frozen vegetables,,
soda,other vegetables,whole milk,root vegetables,yogurt,citrus fruit,shopping bags,bottled water,chicken,sausage
rolls/buns,brown bread,pastry,hamburger meat,domestic eggs,shopping bags,sausage,soda,frozen vegetables,whole milk
root vegetables,hamburger meat,frozen vegetables,detergent,newspapers,butter,pork,rolls/buns,bottled water,
tropical fruit,cream cheese,ice cream,butter,bottled water,detergent,yogurt,,,
pip fruit,rolls/buns,citrus fruit,yogurt,,,,,,
rolls/buns,pip fruit,napkins,tropical fruit,bottled water,pastry,fruit/vegetable juice,frozen vegetables,newspapers,domestic eggs
coffee,domestic eggs,pork,yogurt,bottled water,hamburger meat,butter,,,
sausage,margarine,domestic eggs,shopping bags,tropical fruit,cream cheese,pork,detergent,chicken,curd
ice cream,,,,,,,,,
fruit/vegetable juice,other vegetables,root vegetables,butter,,,,,,
fruit/vegetable juice,citrus fruit,tropical fruit,pip fruit,,,,,,
bottled water,ice cream,butter,rolls/buns,coffee,whole milk,,,,
bottled water,yogurt,curd,hamburger meat,domestic eggs,cream cheese,coffee,,,
whipped/sour cream,root vegetables,,,,,,,,
butter,newspapers,other vegetables,curd,whole milk,detergent,,,,
cream cheese,pip fruit,whipped/sour cream,napkins,pastry,curd,,,,
root vegetables,tropical fruit,brown bread,hamburger meat,pastry,,,,,
curd,brown bread,chicken,newspapers,frozen vegetables,rolls/buns,pastry,whipped/sour cream,pork,root vegetables
pork,,,,,,,,,
tropical fruit,whole milk,newspapers,napkins,margarine,domestic eggs,curd,,,
cream cheese,brown bread,bottled water,napkins,shopping bags,curd,rolls/buns,detergent,yogurt,whole milk
rolls/buns,ice cream,other vegetables,napkins,fruit/vegetable juice,,,,,
soda,citrus fruit,pork,coffee,domestic eggs,margarine,ice cream,rolls/buns,chicken,brown bread
detergent,other vegetables,coffee,hamburger meat,pastry,butter,,,,
pip fruit,curd,soda,root vegetables,margarine,shopping bags,,,,
fruit/vegetable juice,,,,,,,,,
pastry,curd,pork,whipped/sour cream,shopping bags,,,,,
soda,fruit/vegetable juice,detergent,napkins,,,,,,
brown bread,pastry,ice cream,curd,chicken,citrus fruit,,,,
shopping bags,tropical fruit,whipped/sour cream,pip fruit,,,,,,
whole milk,pip fruit,cream cheese,,,,,,,
whipped/sour cream,whole milk,pip fruit,soda,other vegetables,cream cheese,yogurt,butter,,
brown bread,rolls/buns,,,,,,,,
butter,chicken,yogurt,pastry,bottled water,whole milk,,,,
tropical fruit,hamburger meat,yogurt,brown bread,pip fruit,root vegetables,,,,
whipped/sour cream,yogurt,curd,butter,citrus fruit,rolls/buns,cream cheese,hamburger meat,,
ice cream,sausage,domestic eggs,butter,pastry,soda,hamburger meat,cream cheese,shopping bags,
curd,,,,,,,,,
frozen vegetables,,,,,,,,,
cream cheese,napkins,curd,bottled water,hamburger meat,,,,,
pastry,ice cream,cream cheese,,,,,,,
other vegetables,cream cheese,fruit/vegetable juice,pip fruit,domestic eggs,,,,,
tropical fruit,brown bread,detergent,newspapers,bottled water,curd,,,,
whipped/sour cream,butter,fruit/vegetable juice,root vegetables,pip fruit,chicken,,,,
butter,root vegetables,yogurt,coffee,detergent,,,,,
soda,brown bread,newspapers,coffee,shopping bags,chicken,hamburger meat,,,
napkins,hamburger meat,shopping bags,whipped/sour cream,margarine,tropical fruit,detergent,coffee,cream cheese,
margarine,hamburger meat,cream cheese,other vegetables,tropical fruit,pip fruit,soda,,,
napkins,root vegetables,domestic eggs,coffee,tropical fruit,bottled water,,,,
soda,shopping bags,brown bread,,,,,,,
domestic eggs,pastry,coffee,brown bread,,,,,,
fruit/vegetable juice,bottled water,pastry,pip fruit,root vegetables,rolls/buns,,,,
bottled water,chicken,shopping bags,sausage,pastry,whole milk,napkins,hamburger meat,cream cheese,detergent
soda,frozen vegetables,margarine,other vegetables,,,,,,
rolls/buns,pork,other vegetables,butter,,,,,,
pork,citrus fruit,,,,,,,,
curd,,,,,,,,,
yogurt,domestic eggs,,,,,,,,
detergent,,,,,,,,,
whipped/sour cream,ice cream,pork,soda,root vegetables,rolls/buns,napkins,,,
whipped/sour cream,coffee,,,,,,,,
frozen vegetables,rolls/buns,pastry,citrus fruit,tropical fruit,soda,,,,
tropical fruit,margarine,,,,,,,,
butter,soda,fruit/vegetable juice,whipped/sour cream,shopping bags,,,,,
tropical fruit,pastry,newspapers,citrus fruit,domestic eggs,coffee,curd,rolls/buns,,
soda,ice cream,chicken,fruit/vegetable juice,,,,,,
detergent,butter,ice cream,margarine,yogurt,sausage,other vegetables,curd,hamburger meat,bottled water
whipped/sour cream,frozen vegetables,domestic eggs,yogurt,curd,,,,,
frozen vegetables,pastry,domestic eggs,chicken,citrus fruit,root vegetables,pip fruit,fruit/vegetable juice,,
cream cheese,bottled water,,,,,,,,
detergent,napkins,domestic eggs,rolls/buns,pork,yogurt,tropical fruit,chicken,sausage,
hamburger meat,tropical fruit,brown bread,chicken,domestic eggs,pastry,pip fruit,citrus fruit,shopping bags,napkins
newspapers,fruit/vegetable juice,whole milk,soda,whipped/sour cream,hamburger meat,rolls/buns,detergent,other vegetables,
pastry,soda,margarine,coffee,yogurt,bottled water,citrus fruit,brown bread,other vegetables,
yogurt,,,,,,,,,
chicken,detergent,butter,sausage,root vegetables,,,,,
root vegetables,yogurt,curd,citrus fruit,soda,napkins,,,,
cream cheese,soda,pastry,curd,pip fruit,root vegetables,whole milk,napkins,,
napkins,root vegetables,hamburger meat,detergent,,,,,,
pork,citrus fruit,pastry,cream cheese,rolls/buns,hamburger meat,whole milk,soda,,
tropical fruit,other vegetables,soda,cream cheese,citrus fruit,rolls/buns,pip fruit,pastry,coffee,sausage
hamburger meat,detergent,whole milk,,,,,,,
whole milk,coffee,,,,,,,,
newspapers,,,,,,,,,
soda,chicken,coffee,brown bread,sausage,butter,pip fruit,,,
root vegetables,coffee,hamburger meat,soda,brown bread,whipped/sour cream,fruit/vegetable juice,,,
chicken,domestic eggs,margarine,cream cheese,fruit/vegetable juice,pork,tropical fruit,ice cream,bottled water,
root vegetables,pip fruit,rolls/buns,pork,shopping bags,,,,,
napkins,chicken,bottled water,pip fruit,ice cream,,,,,
brown bread,whole milk,,,,,,,,
whole milk,root vegetables,curd,domestic eggs,coffee,rolls/buns,pip fruit,pastry,chicken,
whipped/sour cream,margarine,hamburger meat,frozen vegetables,napkins,,,,,
whipped/sour cream,curd,other vegetables,,,,,,,
sausage,brown bread,pork,napkins,domestic eggs,cream cheese,margarine,citrus fruit,frozen vegetables,pastry
pastry,yogurt,detergent,other vegetables,tropical fruit,pork,soda,chicken,frozen vegetables,
soda,detergent,whipped/sour cream,cream cheese,sausage,,,,,
detergent,other vegetables,rolls/buns,whole milk,,,,,,
fruit/vegetable juice,frozen vegetables,chicken,whole milk,ice cream,,,,,
yogurt,,,,,,,,,
butter,coffee,,,,,,,,
pork,tropical fruit,pastry,frozen vegetables,cream cheese,soda,root vegetables,bottled water,margarine,detergent
citrus fruit,margarine,brown bread,whipped/sour cream,cream cheese,bottled water,chicken,sausage,whole milk,
root vegetables,detergent,shopping bags,rolls/buns,,,,,,
cream cheese,,,,,,,,,
pip fruit,cream cheese,shopping bags,soda,,,,,,
cream cheese,,,,,,,,,
pip fruit,napkins,coffee,yogurt,ice cream,sausage,shopping bags,domestic eggs,hamburger meat,
pip fruit,pastry,chicken,fruit/vegetable juice,butter,,,,,
whole milk,pastry,butter,bottled water,brown bread,pip fruit,hamburger meat,domestic eggs,ice cream,margarine
yogurt,coffee,citrus fruit,shopping bags,pastry,pip fruit,,,,
chicken,domestic eggs,hamburger meat,butter,cream cheese,citrus fruit,coffee,pastry,detergent,
sausage,tropical fruit,citrus fruit,detergent,butter,domestic eggs,yogurt,,,
root vegetables,butter,domestic eggs,sausage,cream cheese,rolls/buns,ice cream,newspapers,shopping bags,
detergent,bottled water,butter,hamburger meat,pip fruit,yogurt,sausage,whole milk,,
other vegetables,shopping bags,whole milk,pip fruit,curd,coffee,root vegetables,butter,newspapers,
sausage,,,,,,,,,
detergent,soda,sausage,,,,,,,
margarine,frozen vegetables,ice cream,napkins,domestic eggs,pork,curd,tropical fruit,shopping bags,
fruit/vegetable juice,pork,bottled water,hamburger meat,,,,,,
pastry,shopping bags,curd,chicken,newspapers,soda,brown bread,whipped/sour cream,other vegetables,hamburger meat
other vegetables,napkins,frozen vegetables,,,,,,,
whole milk,pastry,soda,ice cream,pork,newspapers,frozen vegetables,hamburger meat,brown bread,
chicken,curd,whipped/sour cream,brown bread,rolls/buns,,,,,
margarine,hamburger meat,detergent,cream cheese,bottled water,soda,whipped/sour cream,tropical fruit,,
napkins,,,,,,,,,
rolls/buns,whipped/sour cream,whole milk,butter,fruit/vegetable juice,newspapers,hamburger meat,pip fruit,,
sausage,newspapers,whole milk,cream cheese,fruit/vegetable juice,,,,,
bottled water,curd,pip fruit,brown bread,,,,,,
rolls/buns,whole milk,pastry,whipped/sour cream,coffee,tropical fruit,ice cream,soda,napkins,bottled water
whipped/sour cream,bottled water,ice cream,fruit/vegetable juice,butter,domestic eggs,tropical fruit,frozen vegetables,rolls/buns,pastry
butter,newspapers,bottled water,coffee,margarine,tropical fruit,,,,
tropical fruit,,,,,,,,,
whole milk,pork,frozen vegetables,rolls/buns,hamburger meat,root vegetables,,,,
coffee,pastry,pork,whole milk,ice cream,other vegetables,,,,
root vegetables,coffee,sausage,tropical fruit,chicken,soda,pork,,,
root vegetables,tropical fruit,bottled water,chicken,,,,,,
root vegetables,whipped/sour cream,,,,,,,,
tropical fruit,shopping bags,whipped/sour cream,newspapers,other vegetables,butter,fruit/vegetable juice,whole milk,napkins,detergent
